firm_uei,sbir_name_key,contract_name_key,sbir_display_name,contract_recipient_name,entity_same_firm,corporate_relation,corporate_event_date,corporate_event_date_basis,later_legal_event_type,later_legal_event_date,later_legal_event_date_basis,successor_or_acquirer_name,contract_relationship,attribution_treatment,review_confidence,evidence_source,evidence_locator,secondary_evidence_locator,reviewer,reviewed_at,review_notes
NBSLHP77ZJQ1,PHOTON RESEARCH ASSOC,RAYTHEON,"PHOTON RESEARCH ASSOC., INC.",RAYTHEON COMPANY,N,acquisition,2004-10-06,closed,merger,2012-12-18,filed,RAYTHEON COMPANY,not_established,temporal_split_required,H,Raytheon completion release; SEC-filed corporate-law record,https://raytheon.mediaroom.com/index.php?item=87&s=43,https://www.sec.gov/Archives/edgar/vprr/1300/13001005.pdf,Codex evidence review,2026-09-13,"Raytheon completed its acquisition of PRA on 2004-10-06. An SEC-filed counsel exhibit identifies the Photon merger certificate as filed on 2012-12-18. The corporate record establishes neither contract transfer nor federal novation; do not attribute post-boundary dollars to PRA or Raytheon without contract-specific evidence."
F9AVUZ8YBGQ6,OASYS TECHNOLOGY,BAE SYSTEMS INFORMATION AND ELECTRONIC SYSTEMS INTEGRATION,"OASYS TECHNOLOGY, LLC.",BAE SYSTEMS INFORMATION AND ELECTRONIC SYSTEMS INTEGRATION INC.,N,acquisition,2010-10-20,closed,merger,2014-12-18,effective,BAE SYSTEMS INFORMATION AND ELECTRONIC SYSTEMS INTEGRATION INC.,not_established,temporal_split_required,M,BAE completion release; USPTO assignment record displayed by Google Patents,https://www.baesystems.com/en-us/article/bae-systems-completes-acquisition-of-oasys-technology,https://patents.google.com/patent/US8270086B1/en,Codex evidence review,2026-09-13,"BAE closed the OASYS acquisition on 2010-10-20. The assignment history also shows a 2010 name change and a later merger effective 2014-12-18. Neither record establishes a federal contract transfer or novation; do not automatically attribute post-boundary dollars to either firm."
MU3CM1145E44,PROGENY SYSTEMS,GENERAL DYNAMICS MISSION SYSTEMS,"PROGENY SYSTEMS, LLC","GENERAL DYNAMICS MISSION SYSTEMS, INC.",N,acquisition,,unknown,,,,GENERAL DYNAMICS MISSION SYSTEMS INC.,not_established,unresolved_exclude_from_original_firm_claims,H,U.S. Department of Justice release; Navy SBIR success story,https://www.justice.gov/usao-edva/pr/government-contractor-resolves-false-claims-act-allegations-related-small-business,https://www.navysbir.com/success/docs/Progeny_n99-100-23.pdf,Codex evidence review,2026-09-13,"DOJ places the GDMS acquisition in July 2022, while the Navy case study says August 2022. Neither source supports an exact control date, so this row cannot support a temporal split or original-recipient/successor dollar claim. No general contract novation was established."
FHKLJV1NP651,CYRANO SCIENCES,SMITHS DETECTION,"CYRANO SCIENCES, INC.",SMITHS DETECTION INC.,N,acquisition,2004-02-02,closed,,,,SMITHS DETECTION INC.,not_established,temporal_split_required,H,Smiths Group annual report,https://www.smiths.com/media/zvslrtkz/report_2004.pdf,https://www-live.smiths.com/news-and-insights/news/2004/smiths-group-acquisition-expands-detection-technology-base,Codex evidence review,2026-09-10,"Smiths acquired Cyrano and renamed the business; a later patent record reports consolidation into Smiths Detection Inc. No contract novation was established."
M75FJNSJ3RQ7,TALLEY DEFENSE SYSTEMS,NAMMO DEFENSE SYSTEMS,TALLEY DEFENSE SYSTEMS,NAMMO DEFENSE SYSTEMS INC.,Y,acquisition,,unknown,name_change,2019-10-08,effective,NAMMO DEFENSE SYSTEMS INC.,not_established,unresolved_exclude_from_original_firm_claims,M,Norwegian state ownership report; USPTO assignment record displayed by Google Patents,https://www.regjeringen.no/globalassets/departementene/nfd/dokumenter/state-ownership-reports/the_state_ownership_report_2006.pdf,https://patents.google.com/patent/US10488127B2/en,Codex evidence review,2026-09-13,"A Norwegian state report confirms that Nammo finalized the Talley acquisition in March 2007, but does not support a day-level boundary. An archived reproduction of a Nammo completion announcement has been reported as 2007-03-30, but no durable locatable source is recorded here, so it is not used. The later USPTO record gives the 2019-10-08 name-change effective date. No contract novation was established."
LDUJLC79HNK5,DIGITAL SYSTEM RESOURCES,GENERAL DYNAMICS MISSION SYSTEMS,"DIGITAL SYSTEM RESOURCES, INC.","GENERAL DYNAMICS MISSION SYSTEMS, INC.",N,acquisition,2003-09-10,closed,,,,GENERAL DYNAMICS MISSION SYSTEMS INC.,not_established,temporal_split_required,H,General Dynamics completion release,https://gdmissionsystems.com/-/media/General-Dynamics/News/PDF/2003-ais-press-releases.ashx?hash=218C1B19D00751D6D5AE2918A18B0796&la=en,https://www.sec.gov/Archives/edgar/data/40533/000095013304000738/w94591e10vk.htm,Codex evidence review,2026-09-10,"General Dynamics acquired DSR in 2003 and later formed GD Mission Systems in 2015. Ownership change and contract-recipient identity are not equivalent; no novation was established."
S4YRJUBLQM64,MARTIN ELECTRONICS,NAMMO PERRY,"MARTIN ELECTRONICS, INC.",NAMMO PERRY INC.,Y,acquisition,2008-08-04,closed,name_change,2020-05-15,filed,NAMMO PERRY INC.,not_established,temporal_split_required,H,Chemring completion announcement; Florida Division of Corporations name-change filing,https://www.investegate.co.uk/announcement/prn/chemring-group--chg/completion-of-acquisition/1429004,https://search.sunbiz.org/Inquiry/CorporationSearch/EventHistory?CurrentPage=0&InquiryType=EntityName&ListNameOrder=NAMMEDOV+L100000305580&SearchNameOrder=NAMMOPERRY+8216252&SearchTerm=NAMMEDOV+LLC&aggregateId=forp-821625-8fb448d6-02c0-4bba-b0fd-0a4c224c755d&entityId=821625,Codex evidence review,2026-09-13,"Chemring completed its acquisition of Martin Electronics on 2008-08-04. The 2020-05-15 Florida record is a filed Nammo Perry name-change amendment, not an effective date; it follows the later 2020 Nammo acquisition. Neither corporate history establishes a federal contract novation or automatic attribution of post-boundary dollars."
Z9TUHQN8QK35,AMHERST SYSTEMS,NORTHROP GRUMMAN SYSTEMS,"AMHERST SYSTEMS, INC.",NORTHROP GRUMMAN SYSTEMS CORPORATION,N,acquisition,1999-03-26,closed,merger,2022-11-18,filed,NORTHROP GRUMMAN SYSTEMS CORPORATION,not_established,temporal_split_required,M,SEC-filed Amherst/Comptek acquisition history; third-party corporate-directory extraction of New York Department of State data,https://investor.northropgrumman.com/node/34586/html,https://www.bizprofile.net/ny/new-york/northrop-grumman-systems-corporation,Codex evidence review,2026-09-13,"Comptek purchased Amherst's business operations and substantially all related assets and liabilities on 1999-03-26; Northrop completed its Comptek acquisition on 2000-08-31. The earlier business-transfer date is a conservative attribution boundary, not proof that Amherst's legal entity or contracts transferred. BizProfile is a third-party directory that says it extracted NY Department of State data; it reports the 2022-11-18 certificate-of-merger filing. No novation was established."
NJ2RRT5BMCX1,OREGON IRON WORKS,VIGOR WORKS,"OREGON IRON WORKS, INC.",VIGOR WORKS LLC,Y,merger,2014-05-21,announced,name_change,2015-08-07,effective,VIGOR WORKS LLC,not_established,temporal_split_required,M,Vigor corporate history and contemporaneous merger announcement; USPTO assignment record displayed by Google Patents,https://www.marinelink.com/news/shipbuilding-merger369588,https://patents.google.com/patent/US7004096B1/en,Codex evidence review,2026-09-13,"Vigor and Oregon Iron Works announced their merger on 2014-05-21, with Oregon Iron Works to become a wholly owned Vigor subsidiary; the announcement expected closing by the end of June. The 2014 date is therefore a conservative announcement boundary, not proof of closing, contract assignment, or novation. The USPTO record gives the later Vigor Works name-change effective date of 2015-08-07."
JPXMEVKHLYF8,SENSIS,SAAB,SENSIS CORP.,SAAB INC,unsure,acquisition,2011-08-15,closed,,,,SAAB INC.,not_established,unresolved_exclude_from_original_firm_claims,M,Saab completion release,https://www.saab.com/newsroom/press-releases/2011/saab-completes-acquisition-of-sensis,https://orlando.novusagenda.com/AgendaPublic/AttachmentViewer.ashx?AttachmentID=99743&ItemID=54117,Codex evidence review,2026-09-10,"The acquisition is documented, but later sources show conflicting entity identifiers and do not resolve exact legal continuity into Saab Inc. Do not combine pre/post dollars without contract-level review."
