ffrdc_name,agency,sub_agency,admin_name,admin_type,loc_state,activity
Aerospace Federally Funded Research and Development Center,Department of Defense,Department of the Air Force,The Aerospace Corporation,nonprofit institutions other than universities and colleges,California,Systems engineering and integration centers
Ames National Laboratory,Department of Energy,,Iowa State University ,"universities and colleges, including university consortia",Iowa,Research and development laboratories
Argonne National Laboratory,Department of Energy,,"UChicago Argonne, LLC","universities and colleges, including university consortia",Illinois,Research and development laboratories
Arroyo Center,Department of Defense,Department of the Army,RAND Corp.,nonprofit institutions other than universities and colleges,California,Study and analysis centers
Brookhaven National Laboratory,Department of Energy,,"Brookhaven Science Associates, LLC",nonprofit institutions other than universities and colleges,New York,Research and development laboratories
Center for Advanced Aviation System Development,Department of Transportation,Federal Aviation Administration,MITRE Corp.,nonprofit institutions other than universities and colleges,Virginia,Research and development laboratories
Center for Communications and Computing,Department of Defense,National Security Agency/Central Security Service,Institute for Defense Analyses,nonprofit institutions other than universities and colleges,Virginia,Research and development laboratories
Center for Enterprise Modernization,Department of the Treasury,Internal Revenue Service,MITRE Corp.,nonprofit institutions other than universities and colleges,Virginia,Systems engineering and integration centers
Center for Naval Analyses,Department of Defense,Department of the Navy,The CNA Corp.,nonprofit institutions other than universities and colleges,Virginia,Study and analysis centers
Center for Nuclear Waste Regulatory Analyses,Nuclear Regulatory Commission,,Southwest Research Institute,nonprofit institutions other than universities and colleges,Texas,Study and analysis centers
CMS Alliance to Modernize Healthcare,Department of Health and Human Services,Centers for Medicare and Medicaid Services,MITRE Corp.,nonprofit institutions other than universities and colleges,Maryland,Study and analysis centers
Fermi National Accelerator Laboratory,Department of Energy,,"Fermi Forward Discovery Group, LLC","universities and colleges, including university consortia",Illinois,Research and development laboratories
Frederick National Laboratory for Cancer Research,Department of Health and Human Services,National Institutes of Health,"Leidos Biomedical Research, Inc.",industrial firms,Maryland,Research and development laboratories
Homeland Security Operational Analysis Center,Department of Homeland Security,Science and Technology Directorate,RAND Corp.,nonprofit institutions other than universities and colleges,Virginia,Study and analysis centers
