oid,year,title,venue,type,cites,fwci,doi,n_auth,first_auth,topic,is_sbir,from_tight,cited_via_anchor,is_oa,relevance,area,title_key,score
W4327551308,2023,Small Firms and U.S. Technology Policy,Edward Elgar Publishing eBooks,book,16,6.7414,10.4337/9781802205596,2,Albert N. Link,,False,True,False,False,core,A,small firms and us technology policy,48.0
W4411369481,2025,Opening Up Military Innovation: Causal Effects of Reforms to US Defense Research,Journal of Political Economy,article,6,13.9297,10.1086/737235,4,Sabrina T Howell,,False,True,False,True,core,A,opening up military innovation causal effects of reforms to us defense research,38.0
W3158964182,2021,Opening up Military Innovation: Causal Eﬀects of Reforms to U.S. Defense Research,National Bureau of Economic Research,preprint,5,,10.3386/w28700,4,Sabrina T Howell,,False,True,False,True,core,A,opening up military innovation causal eects of reforms to us defense research,13.0
W4411796279,2025,Small Business Innovation Applied to National Needs,National Bureau of Economic Research,report,2,,10.3386/w33945,3,Kyle Myers,,True,True,False,True,core,A,small business innovation applied to national needs,14.0
W4224058432,2022,Evaluating the Effectiveness of the Air Force’s Open Topic SBIR and STTR Process to Engage Small Business to Work on Defense,,dissertation,1,,10.31979/etd.muct-d7ap,1,Bevan Hart,,True,True,False,True,core,A,evaluating the effectiveness of the air forces open topic sbir and sttr process to engage small business to work on defense,9.0
W2979927119,2019,Department of Defense: SBIR/STTR Grants and Other Contracts,ScholarlyCommons (University of Pennsylvania),article,1,0.4434,,2,Julia Kelly,,True,True,False,False,core,A,department of defense sbirsttr grants and other contracts,11.217
W7154549985,2026,De-Risking Defense Innovation at the Earliest Stages: The Strategic Role of Entrepreneurial Fellowships and Early Non-Dilutive Grant Funding,Digital Access to Scholarship at Harvard (DASH) (Harvard University),article,0,0.0,,2,Elizabeth Kennedy,,False,True,False,True,core,A,derisking defense innovation at the earliest stages the strategic role of entrepreneurial fellowships and early nondilutive grant funding,12.0
W4309564736,2022,Are public subsidies effective for university spinoffs? Evidence from SBIR awards in the University of California system,Research Policy,article,44,10.2856,10.1016/j.respol.2022.104662,4,Riccardo Fini,,True,True,False,True,core,B,are public subsidies effective for university spinoffs evidence from sbir awards in the university of california system,72.0
W4385254766,2023,How innovation funding leads enterprises to engage in research and development: Small and medium enterprises’ perspective,PLoS ONE,article,16,8.8307,10.1371/journal.pone.0289166,4,Hui Sun,,False,True,False,True,core,B,how innovation funding leads enterprises to engage in research and development small and medium enterprises perspective,48.0
W3124136698,2021,Advancing pediatric medical device development via non-dilutive NIH SBIR/STTR grant funding,Journal of Pediatric Surgery,article,12,0.4246,10.1016/j.jpedsurg.2021.01.025,8,Raphael C. Sun,,True,True,False,True,core,B,advancing pediatric medical device development via nondilutive nih sbirsttr grant funding,22.123
W2926101197,2019,Public/private technology partnerships: evaluating SBIR-supported research,Edward Elgar Publishing eBooks,book-chapter,10,23.1825,10.4337/9781788116336.00021,3,David B. Audretsch,,True,True,False,False,core,B,publicprivate technology partnerships evaluating sbirsupported research,38.0
W3134879827,2021,Teaching STEM Entrepreneurship With Societal Significance: Building on the Small Business Innovation Research Program,Entrepreneurship Education and Pedagogy,article,7,1.7434,10.1177/2515127421994785,1,César Bandera,,True,True,False,False,core,B,teaching stem entrepreneurship with societal significance building on the small business innovation research program,23.717
W4380624275,2023,"The transfer of federally funded technology: A study of small, entrepreneurial, and ambidextrous firms",Small Business Economics,article,5,1.2932,10.1007/s11187-023-00794-y,3,Maribel Guerrero,,False,True,False,False,core,B,the transfer of federally funded technology a study of small entrepreneurial and ambidextrous firms,23.466
W3210107819,2021,Performance assessment on technology transition from small businesses to the U.S. Department of Defense,Socio-Economic Planning Sciences,article,3,0.3016,10.1016/j.seps.2021.101177,2,Toshiyuki Sueyoshi,,False,True,False,False,core,B,performance assessment on technology transition from small businesses to the us department of defense,12.508
W2965099585,2019,Making NASA More Business Friendly: A Small Business Innovation Research and Small Business Technology Transfer Case Study,New Space,article,2,0.0,10.1089/space.2019.0005,14,Jennifer L. Gustetic,,True,True,False,False,core,B,making nasa more business friendly a small business innovation research and small business technology transfer case study,10.0
W2965653189,2019,Engaging SBIR Resources for Development of Surgical Innovations in Oncology,Success in academic surgery,book-chapter,2,1.5967,10.1007/978-3-030-18613-5_14,4,Deepa Narayanan,,True,True,False,False,core,B,engaging sbir resources for development of surgical innovations in oncology,17.9835
W4410620443,2025,Small business innovation research and small business technology transfer NIH grants,Elsevier eBooks,book-chapter,1,20.1564,10.1016/b978-0-12-821426-8.00099-6,5,Bassam Abomoelak,,True,True,False,False,core,B,small business innovation research and small business technology transfer nih grants,33.0
W4385580114,2023,Developing Translational Ventures with the Federal Small Business Innovation Research/Small Business Technology Transfer (SBIR/STTR) Seed Funds,Elsevier eBooks,book-chapter,0,0.0,10.1016/b978-0-323-88423-5.00089-3,1,H. Timothy Hsiao,,True,True,False,False,core,B,developing translational ventures with the federal small business innovation researchsmall business technology transfer sbirsttr seed funds,12.0
W2978739218,2019,Knowledge begets knowledge: university knowledge spillovers and the output of scientific papers from U.S. Small Business Innovation Research (SBIR) projects,Scientometrics,article,25,8.466,10.1007/s11192-019-03260-3,3,David B. Audretsch,,True,True,False,True,core,C,knowledge begets knowledge university knowledge spillovers and the output of scientific papers from us small business innovation research sbir projects,53.0
W3013102198,2020,Development of Novel Radiosensitizers through the National Cancer Institute's Small Business Innovation Research Program,Radiation Research,article,7,1.2734,10.1667/rr15545.1,5,Kaveh Zakeri,,True,True,False,True,core,C,development of novel radiosensitizers through the national cancer institutes small business innovation research program,21.367
W7124557557,2026,Firm reliance on SBIR funding and its relation to the generation of spin-off firms and patenting,The Journal of Technology Transfer,article,0,0.0,10.1007/s10961-025-10318-3,1,Christopher A. Swann,,True,True,True,True,core,C,firm reliance on sbir funding and its relation to the generation of spinoff firms and patenting,12.0
W3170812896,2021,Do public R&amp;D subsidies produce jobs? Evidence from the SBIR/STTR program,Research Policy,article,43,7.8372,10.1016/j.respol.2021.104286,3,Lauren Lanahan,,True,True,True,False,core,D,do public rampd subsidies produce jobs evidence from the sbirsttr program,71.0
W3165540576,2021,Helping the Little Guy: the impact of government awards on small technology firms,The Journal of Technology Transfer,article,28,4.8256,10.1007/s10961-021-09859-0,5,Aleksandar Giga,,False,True,False,False,core,D,helping the little guy the impact of government awards on small technology firms,56.0
W4280619863,2022,Evaluating the tail of the distribution: the economic contributions of frequently awarded government R&amp;D recipients,Research Policy,article,21,4.662,10.1016/j.respol.2022.104539,5,Maryann P. Feldman,,False,True,False,True,core,D,evaluating the tail of the distribution the economic contributions of frequently awarded government rampd recipients,49.0
W2984568115,2020,Do Cash Windfalls Affect Wages? Evidence from R&amp;D Grants to Small Firms,National Bureau of Economic Research,report,13,,10.3386/w26717,2,Sabrina T Howell,,False,True,False,True,core,D,do cash windfalls affect wages evidence from rampd grants to small firms,21.0
W2966834265,2019,Geographically-related outcomes of U.S. funding for small business research and development: Results of the research grant programs of a component of the National Institutes of Health,Evaluation and Program Planning,article,11,1.6933,10.1016/j.evalprogplan.2019.101696,3,James Onken,,False,True,False,True,core,D,geographicallyrelated outcomes of us funding for small business research and development results of the research grant programs of a component of the national institutes of health,27.4665
W4296558680,2022,Does NIH select the right healthcare ventures through the SBIR grant program?,The Journal of Technology Transfer,article,5,1.112,10.1007/s10961-022-09964-8,3,Supradeep Dutta,,True,True,False,True,core,D,does nih select the right healthcare ventures through the sbir grant program,18.560000000000002
W3034816269,2020,Public Support of Private Innovation: An Initial Assessment of the North Carolina SBIR/STTR Phase I Matching Funds Program,Annals of Science and Technology Policy,article,4,0.9316,10.1561/110.00000015,3,John W. Hardin,,True,True,False,True,core,D,public support of private innovation an initial assessment of the north carolina sbirsttr phase i matching funds program,16.658
W4413150711,2025,A new approach to measuring invention commercialization: An application to the SBIR program,Research Policy,article,3,6.9366,10.1016/j.respol.2025.105302,3,Carlo Bottai,,True,True,True,True,core,D,a new approach to measuring invention commercialization an application to the sbir program,35.0
W3180204824,2021,Is Sbir A Government Venture Fund?,Technology & Innovation,article,2,0.0,10.21300/21.4.2021.3,5,Will D. Swearingen,,True,True,False,True,core,D,is sbir a government venture fund,10.0
W2983745315,2019,Estimating Outcomes and Impacts from Innovation Programs: The Case of Air Force and Navy SBIR/STTR Programs,Technology & Innovation,article,1,0.0,10.21300/21.1.2019.49,4,Robin Gaster,,True,True,False,True,core,D,estimating outcomes and impacts from innovation programs the case of air force and navy sbirsttr programs,9.0
W2255988770,2019,The Multilevel Innovation Policy Mix: Three Essays on State SBIR Matching Programs,Carolina Digital Repository (University of North Carolina at Chapel Hill),article,0,0.0,10.17615/waj1-rm84,1,Lauren Lanahan,,True,True,False,True,core,D,the multilevel innovation policy mix three essays on state sbir matching programs,8.0
W3082362275,2020,"ITEM WITHDRAWN: Economic Contribution of the Federal Small Business Innovation Research (SBIR) and Small Business Technology Transfer (STTR) Funding to Minnesota Small Businesses (Minnesota, Fiscal Years 1983 - 2019)",University of Minnesota Digital Conservancy (University of Minnesota),article,0,0.0,,1,Brigid Tuck,,True,True,False,False,core,D,item withdrawn economic contribution of the federal small business innovation research sbir and small business technology transfer sttr funding to minnesota small businesses minnesota fiscal years 1983  2019,8.0
W3200867643,2021,An Empirical Model of R&amp;D Procurement Contests: An Analysis of the DOD SBIR Program,Econometrica,article,32,3.108,10.3982/ecta16581,1,Vivek Bhattacharya,,True,True,False,False,core,E,an empirical model of rampd procurement contests an analysis of the dod sbir program,55.54
W2971848910,2019,"Using database linkages to measure innovation, commercialization, and survival of small businesses",Evaluation and Program Planning,article,9,1.9386,10.1016/j.evalprogplan.2019.101710,5,James Onken,,False,True,False,True,core,E,using database linkages to measure innovation commercialization and survival of small businesses,26.693
W2931283440,2019,An Assessment of the Small Business Innovation Research Program in New England: Fast Track Compared with Non-Fast Track Projects,Edward Elgar Publishing eBooks,book-chapter,7,0.0,10.4337/9781788116336.00014,1,John T. Scott,,True,True,False,False,core,E,an assessment of the small business innovation research program in new england fast track compared with nonfast track projects,15.0
