area,updates_slot,relevance,year,first_author,title,venue,cites,fwci,doi,openalex_id
A,"L16,L17,L28–L33 (policy reports) — no recent peer-reviewed econometrics",core,2023,Albert N. Link,Small Firms and U.S. Technology Policy,Edward Elgar Publishing eBooks,16,6.74,10.4337/9781802205596,W4327551308
A,"L16,L17,L28–L33 (policy reports) — no recent peer-reviewed econometrics",core,2025,Sabrina T Howell,Opening Up Military Innovation: Causal Effects of Reforms to US Defense Research,Journal of Political Economy,6,13.93,10.1086/737235,W4411369481
A,"L16,L17,L28–L33 (policy reports) — no recent peer-reviewed econometrics",adjacent,2024,Rodney H. Yerger,A Case Study on DARPA: An Exemplar for Government Strategic Structuring to Foster Innovation?,International studies in entrepreneurship,7,42.95,10.1007/978-3-031-49196-2_7,W4391724798
A,"L16,L17,L28–L33 (policy reports) — no recent peer-reviewed econometrics",adjacent,2024,Lauren A. Kahn,Risky Incrementalism: Defense AI in the United States,Contributions to security and defence studies,6,4.36,10.1007/978-3-031-58649-1_2,W4400764255
A,"L16,L17,L28–L33 (policy reports) — no recent peer-reviewed econometrics",adjacent,2022,Tsisilile Igogo,America's Strategy to Secure the Supply Chain for a Robust Clean Energy Transition,,27,,10.2172/1871491,W4281790070
B,"L1,L3,L4,L12 — Link & Scott commercialization econometrics (2010)",adjacent,2019,Maribel Guerrero,Effectiveness of technology transfer policies and legislation in fostering entrepreneurial innovations across continents: an overview,The Journal of Technology Transfer,140,31.08,10.1007/s10961-019-09736-x,W2946405170
B,"L1,L3,L4,L12 — Link & Scott commercialization econometrics (2010)",adjacent,2023,Annalisa Caloffi,Innovation intermediaries' types and functions: A computational analysis of the literature,Technological Forecasting and Social Change,66,35.87,10.1016/j.techfore.2023.122351,W4318313244
B,"L1,L3,L4,L12 — Link & Scott commercialization econometrics (2010)",adjacent,2023,Dorothea Schäfer,The impact of public procurement on financial barriers to general and green innovation,Small Business Economics,50,12.69,10.1007/s11187-023-00790-2,W4385219095
B,"L1,L3,L4,L12 — Link & Scott commercialization econometrics (2010)",core,2022,Riccardo Fini,Are public subsidies effective for university spinoffs? Evidence from SBIR awards in the University of California system,Research Policy,44,10.29,10.1016/j.respol.2022.104662,W4309564736
B,"L1,L3,L4,L12 — Link & Scott commercialization econometrics (2010)",adjacent,2020,Jaime Bonnín Roca,The role of regulators in mitigating uncertainty within the Valley of Death,Technovation,46,4.83,10.1016/j.technovation.2020.102157,W3042196102
C,"L9,L13 — Myers&Lanahan spillovers (2022), Jaffe-Trajtenberg-Henderson (1993)",adjacent,2020,Lorenzo Compagnucci,The Third Mission of the university: A systematic literature review on potentials and constraints,Technological Forecasting and Social Change,832,285.56,10.1016/j.techfore.2020.120284,W3084900093
C,"L9,L13 — Myers&Lanahan spillovers (2022), Jaffe-Trajtenberg-Henderson (1993)",adjacent,2019,Nicholas Bloom,A Toolkit of Policies to Promote Innovation,The Journal of Economic Perspectives,553,89.76,10.1257/jep.33.3.163,W2959394880
C,"L9,L13 — Myers&Lanahan spillovers (2022), Jaffe-Trajtenberg-Henderson (1993)",adjacent,2019,Ashish Arora,The Changing Structure of American Innovation: Some Cautionary Remarks for Economic Growth,Innovation Policy and the Economy,133,29.91,10.1086/705638,W2946722863
C,"L9,L13 — Myers&Lanahan spillovers (2022), Jaffe-Trajtenberg-Henderson (1993)",adjacent,2019,Mattia Bianchi,R&amp;D Subsidies as Dual Signals in Technological Collaborations,Research Policy,125,20.88,10.1016/j.respol.2019.103821,W2963780822
C,"L9,L13 — Myers&Lanahan spillovers (2022), Jaffe-Trajtenberg-Henderson (1993)",adjacent,2025,Umme Thayyiba Khatoon,An Overview on the Role of Government Initiatives in Nanotechnology Innovation for Sustainable Economic Development and Research Progress,Sustainability,103,36.09,10.3390/su17031250,W4407139393
