relevance,area,year,first_author,n_authors,title,venue,type,citations,fwci,open_access,doi,openalex_id
adjacent,A,2026,Ethan Kapstein,3,Defence innovation and procurement reform: an empirical evaluation of the US Defense Innovation Unit,,article,0,0.0,True,10.64153/zmlx1187,W7162139669
adjacent,A,2024,Rodney H. Yerger,1,A Case Study on DARPA: An Exemplar for Government Strategic Structuring to Foster Innovation?,International studies in entrepreneurship,book-chapter,7,42.9496,True,10.1007/978-3-031-49196-2_7,W4391724798
adjacent,A,2024,Lauren A. Kahn,1,Risky Incrementalism: Defense AI in the United States,Contributions to security and defence studies,book-chapter,6,4.3572,True,10.1007/978-3-031-58649-1_2,W4400764255
adjacent,A,2024,David R. Cassatt,3,Product Development within the National Institutes of Health Radiation and Nuclear Countermeasures Program,Radiation Research,article,4,1.4315,True,10.1667/rade-23-00144.1,W4392168760
adjacent,A,2023,Brodi Kotila,9,Strengthening the Defense Innovation Ecosystem,RAND Corporation eBooks,book,5,1.9015,True,10.7249/rra1352-1,W4323528212
adjacent,A,2023,Nikhil Kalathil,3,Short-term economic dynamism as a policy tool to address supply shortages during crises,Industrial and Corporate Change,article,2,1.1038,True,10.1093/icc/dtad028,W4381849451
adjacent,A,2023,Leonardo M. Giuffrida,2,Bureaucratic Frictions and Innovation Procurement,SSRN Electronic Journal,article,1,,True,10.2139/ssrn.4646361,W4389104112
adjacent,A,2022,Tsisilile Igogo,1,America's Strategy to Secure the Supply Chain for a Robust Clean Energy Transition,,report,27,,True,10.2172/1871491,W4281790070
adjacent,A,2022,Nicholas Dew,2,System-on-System Competition in Defense Innovation,Expeditions with MCUP,article,3,0.8342,True,10.36304/expwmcup.2022.07,W4280635645
adjacent,A,2022,"Villalobos, Fabian",5,Time for Resilient Critical Material Supply Chain Policies,RAND Corporation eBooks,book,2,0.7502,True,10.7249/rra2102-1,W4313165106
adjacent,A,2021,Bonnie Johnson,1,Artificial Intelligence Systems: Unique Challenges for Defense Applications,Calhoun: The Naval Postgraduate School Institutional Archive (Naval Postgraduate School),book-chapter,2,1.1546,False,,W3209313180
adjacent,A,2020,Mateus Lino Labrunie,3,resurgence of industrial policies in the age of advanced manufacturing,Revista Brasileira de Inovação,article,7,3.4565,True,10.20396/rbi.v19i0.8658753,W3115282223
adjacent,A,2020,Nicole A Williamson,1,Federal Dollars for All Humankind: Using Procurement Law to Increase Diversity in the Space Industry,SMU Scholar (Southern Methodist University),article,2,0.2662,True,,W3138771760
adjacent,A,2020,Charles William Chimento,1,Open innovation in the US Air Force,DSpace@MIT (Massachusetts Institute of Technology),dissertation,1,,True,,W3096915630
adjacent,A,2020,Tyler J Knox,1,U.S. Military Innovation In The 21st Century: The Era Of The “Spin-On”,ScholarlyCommons (University of Pennsylvania),article,0,0.0,True,,W3026460688
adjacent,B,2026,Pedro Henrique Gonçalves da Silva Napoli de Lima,5,When complexity does not mean chaos: nonlinear dynamics of entrepreneurial ecosystems,The Journal of Technology Transfer,article,1,29.6265,True,10.1007/s10961-025-10314-7,W7128597762
adjacent,B,2026,VyVy X. Nguyen,15,"Dental, Oral and Craniofacial Tissue Regeneration Consortium (DOCTRC): An infrastructure for accelerating regenerative therapies from discovery to clinical impact",Journal of Clinical and Translational Science,article,1,12.9786,True,10.1017/cts.2026.10706,W7128781175
adjacent,B,2025,Adams G. Bailey,4,Paths towards commercialization: evidence from NIH proof of concept centers,The Journal of Technology Transfer,article,3,6.8062,True,10.1007/s10961-025-10187-w,W4407633095
adjacent,B,2025,Eric D. Raile,8,"Technology license agreements as public–private partnerships for economic development: evaluations using surveys, input–output modeling, and regression analysis",Journal of Innovation and Entrepreneurship,article,2,3.1565,True,10.1186/s13731-025-00467-y,W4407102984
adjacent,B,2025,D. Carrington Motley,3,From critique to catalyst: How academic entrepreneurs transform negative feedback into pivots and performance,Strategic Entrepreneurship Journal,article,2,3.9206,True,10.1002/sej.70004,W4415824130
adjacent,B,2025,Matthew Heshmatipour,10,Lessons from the National institutes of health innovation corps program: defining barriers to developing and commercializing novel solutions for persons with opioid use disorder,Addiction Science & Clinical Practice,article,1,1.2779,True,10.1186/s13722-025-00554-1,W4408317466
adjacent,B,2025,Keith Biggs,3,"Surgical Robotic Technology in the United States: Growth Trends, Social Benefits, and Public Policy Initiatives",Annals of Science and Technology Policy,article,1,2.6492,True,10.1108/110.00000032,W4411922724
adjacent,B,2025,Yu Bao,6,Bridging Fiscal Policy and Innovation: The Institutional Logic of the “First-Invest-Then-Equity” Model in Xianyang’s Technology Transfer Reform,Research in Economics and Management,article,0,0.0,True,10.22158/rem.v10n2p201,W4415241956
adjacent,B,2024,Kehinde Feranmi Awonuga,6,Business incubators and their impact on startup success: A review in the USA,International Journal of Science and Research Archive,review,34,21.6136,True,10.30574/ijsra.2024.11.1.0234,W4391706764
adjacent,B,2024,Alexander Romero-Sánchez,3,Exploring the entrepreneurial landscape of university-industry collaboration on public university spin-off creation: A systematic literature review,Heliyon,article,26,16.4574,True,10.1016/j.heliyon.2024.e27258,W4392380603
