firm,agency,command,prior_sbir,prior_award_match,prior_award_count,transition_contract,transition_value,recipient_uei,year,transition_type,stratum,provenance,has_contract_id,source_url,description
SIMVENTIONS INC,MDA,Missile Defense Agency,FA8750-20-P-1614,exact,43,0009,614000.0,LUPETBHCEU19,2008,procurement,hard,pipeline,yes,data/processed/sbir_phase3/phase3_universe.jsonl,SBIR PHASE III
"GATR TECHNOLOGIES, INC.",MDA,Missile Defense Agency,FA8650-05-M-5019,exact,10,W9113M08C0205,4141299.86,TNMNYWRNFDK9,2008,procurement,hard,pipeline,yes,data/processed/sbir_phase3/phase3_universe.jsonl,PHASE III SBIR - OSD
"CORVID TECHNOLOGIES, LLC",MDA,Missile Defense Agency,140D0420C0031,exact,226,HQ000609C7090,14147014.12,DD7KTEMDG6A5,2009,procurement,hard,pipeline,yes,data/processed/sbir_phase3/phase3_universe.jsonl,SBIR PHASE III RESEARCH AND DEVELOPMENT.
"CORVID TECHNOLOGIES, LLC",MDA,Missile Defense Agency,140D0420C0031,exact,226,HQ014710C7093,2702943.59,DD7KTEMDG6A5,2010,procurement,hard,pipeline,yes,data/processed/sbir_phase3/phase3_universe.jsonl,SBIR PHASE III RESEARCH AND DEVELOPMENT.
SIMVENTIONS INC,MDA,Missile Defense Agency,FA8750-20-P-1614,exact,43,0025,350833.0,LUPETBHCEU19,2010,procurement,hard,pipeline,yes,data/processed/sbir_phase3/phase3_universe.jsonl,SBIR PHASE III
"SAN DIEGO COMPOSITES, INC",MDA,Missile Defense Agency,DASG6002P0064,exact,84,HQ000610C7091,259940.0,W6UDW59QZAZ9,2010,procurement,hard,pipeline,yes,data/processed/sbir_phase3/phase3_universe.jsonl,SBIR PHASE III RESEARCH AND DEVELOPMENT.
TREX ENTERPRISES CORPORATION,MDA,Missile Defense Agency,F29601-01-C-0097,exact,104,HQ014713C7002,6998738.0,RN43FYPYNKP4,2013,procurement,hard,pipeline,yes,data/processed/sbir_phase3/phase3_universe.jsonl,SBIR PHASE III RESEARCH&DEV IGF::OT::IGF
"PLASMA PROCESSES, LLC",MDA,Missile Defense Agency,80NSSC18P1973,exact,147,HQ014716C7904,4698240.0,KAWTP8XNFEK9,2016,procurement,hard,pipeline,yes,data/processed/sbir_phase3/phase3_universe.jsonl,::IGF::OT::IGF SBIR PHASE III
QYNERGY CORPORATION,MDA,Missile Defense Agency,FA9451-18-P-0280,exact,7,HQ014716C7900,1109015.0,CSTJN37QXUL1,2016,procurement,hard,pipeline,yes,data/processed/sbir_phase3/phase3_universe.jsonl,IGF::OT::IGF    SBIR PHASE III  IBAS R&D
"PEOPLETEC, INC.",MDA,Missile Defense Agency,FA9550-16-C-0003,exact,5,HQ014718F7033,3467859.26,RD9KLGSLJGX9,2018,procurement,hard,pipeline,yes,data/processed/sbir_phase3/phase3_universe.jsonl,"SBIR PHASE III-PEOPLETECH, INC.-CORE LETHALITY MODELS (CLMS) R&D- TO EXPAND THE CAPABILITIES, TECHNOLOGIES, AND VALIDATION OF THE CLMS TO PROVIDE MORE ROBUST, H"
SCITEC INNOVATIONS LLC,MDA,Missile Defense Agency,140D0423C0002,fuzzy,45,HQ014718F7010,271849.64,H2A8W4DR7223,2018,procurement,hard,pipeline,yes,data/processed/sbir_phase3/phase3_universe.jsonl,SBIR PHASE III; PHYSICS-BASED TYPING
"EXOTHERMICS, INC.",MDA,Missile Defense Agency,DASG60-00-M-0091,exact,24,HQ014719C7900,2513654.0,MK67J7CM7JX7,2019,procurement,hard,pipeline,yes,data/processed/sbir_phase3/phase3_universe.jsonl,SBIR PHASE III R&D;HIGH TEMPERATURE SEEKER WINDOW
IERUS TECHNOLOGIES INC,MDA,Missile Defense Agency,6SVL4-22-C-0016,exact,98,HQ014719F5050,859826.0,H1ZRXJKFZ4K7,2019,procurement,hard,pipeline,yes,data/processed/sbir_phase3/phase3_universe.jsonl,SBIR PHASE III R&D
