firm,agency,command,state,prior_sbir,transition_contract,transition_value,sbir_value,year,description,source_url,transition_type,provenance,stratum
Advanced Technology And Research Corp.,Navy,NAVSEA,MD,N112-137 N20A-T010,,"$7,910,825","$2,617,514",2026,Ship Vibration Mitigation for Additive Manufacturing Equipment,https://navysbir.us/success/,procurement,independent,marquee
Arete Associates,Navy,NAVAIR,CA,N101-089 N00-107 N00-107,,"$8,907,345","$5,267,272",2026,Light Weight Coastal Topographic/Bathymetric Charting System for Naval Unmanned Airborne Vehicle,https://navysbir.us/success/,procurement,independent,marquee
Beacon Interactive Systems LLC,Navy,NAVSEA,MA,N07-108,,"$7,400,981","$845,821",2026,Prognostics and Health Management (PHM) for Afloat Information Technology (IT) and Network Services,https://navysbir.us/success/,procurement,independent,marquee
"CornerTurn, LLC",Navy,NAVAIR,CA,N101-018,,"$2,914,894","$1,345,293",2026,MH-60R Sonar NiCad Battery Reliability Improvement,https://navysbir.us/success/,procurement,independent,marquee
La Jolla Logic Inc.,Navy,NAVSEA,CA,N132-140,,"$3,133,885","$1,649,771",2026,Cognitive Autonomous Artificial System Intelligence (CAASI),https://navysbir.us/success/,procurement,independent,marquee
"Mayflower Communications Company, Inc.",Navy,NAVAIR,MA,A14-032,,"$22,000,000","$915,000",2026,Anti-Jam Antennas for GPS Pseudolites and Blue Force Electronic Attack,https://navysbir.us/success/,procurement,independent,marquee
Pacific Science & Engineering Group,Navy,NAVSEA,CA,N11A-T031 N06-14,,"$4,005,03","$3,547,91",2026,Collaborative Knowledge Management for Net-Centric Systems,https://navysbir.us/success/,procurement,independent,marquee
Programs Management Analytics,Navy,NAVAIR,CA,N201-022,,"$13,516,930","$1,335,443",2026,Maritime Situational Awareness (MSA-DARK),https://navysbir.us/success/,procurement,independent,marquee
Scalable Network Technologies,Navy,NAVWAR,CA,A04-132,,"$9,143,467","$5,466,612",2026,Scalable Real-Time Analysis Environment for Wireless Networks,https://navysbir.us/success/,procurement,independent,marquee
Soar Technology,Navy,NAVAIR,FL,N15A-T013,,"$44,624,826","$2,724,276",2026,"Pedagogical Practice for Learning, Assessment, and Remediation",https://navysbir.us/success/,procurement,independent,marquee
"Azure Summit Technology, Inc.",Navy,NAVAIR,VA,AF083-053 N141-065 N151-059,,"$66,969,445","$5,188,044",2025,Large Time Band Width Product Signal Acquisition Processors,https://navysbir.us/success/,procurement,independent,marquee
"Blue Storm Associates, Inc.  dba PEMDAS Technologies & Innovations",Navy,ONR,FL,AF151-041,,"$3,784,854","$854,636",2025,Environmental Intelligence Research and Development,https://navysbir.us/success/,procurement,independent,marquee
"Daniel H. Wagner Associates, Inc.",Navy,ONR,PA,N151-071,,"$3,704,807","$2,131,368",2025,Intelligent Maritime Minefield Planner (IMMP),https://navysbir.us/success/,procurement,independent,marquee
"Defense Unicorns, Inc.",Navy,NAVSEA,CO,AF21A-TCSO1,,"$43,277,993","$796,577",2025,Machine Learning for Launch Assurance,https://navysbir.us/success/,procurement,independent,marquee
"G2 Ops, Inc.",Navy,NAVSEA,VA,N181-051,,"$5,971,454","$1,624,837",2025,Unified Cybersecurity System Modeling of Naval Control Systems,https://navysbir.us/success/,procurement,independent,marquee
ITA International LLC,Navy,NAVSEA,VA,N01-137,,"$4,404,107","$800,000",2025,An Innovative DSS-based Expeditionary Logistics Tool,https://navysbir.us/success/,procurement,independent,marquee
"R Cubed Engineering, LLC",Navy,NAVAIR,FL,N142-102,,"$48,557,595","$2,329,162",2025,Micro Identification Friend or Foe (IFF),https://navysbir.us/success/,procurement,independent,marquee
"Seemann Composites, LLC",Navy,NAVSEA,MS,SOCOM96-002,,"$60,131,039","$864,325",2025,Non-Autoclave Composite Systems for Submerged Marine Components,https://navysbir.us/success/,procurement,independent,marquee
"SOLUTE Inc., a  Sigma Defense Systems LLC",Navy,ONR,GA,N10A-T045 N093-19,,"$8,750,047","$1,585,091",2025,Advanced Digital Warfare System Development Digital Integration System Modernization,https://navysbir.us/success/,procurement,independent,marquee
Vulcan Wireless Inc,Navy,NAVWAR,CA,AF05-034,,"$3,352,597","$2,752,742",2025,Reconfigurable Electronics for Responsive Space Systems,https://navysbir.us/success/,procurement,independent,marquee
202 Group LLC  (BlueVoyant Government Solutions),Navy,NAVSEA,DC,AF192-001,,"$29,314,470","$751,398",2024,Supply Chain Illumination and Industrial Base Resilience Services,https://navysbir.us/success/,procurement,independent,marquee
"Adaptive Methods, Inc.",Navy,NAVAIR,VA,N02-152,,"$26,674,151","$1,267,788",2024,Environmental Mission Planner,https://navysbir.us/success/,procurement,independent,marquee
Advanced Acoustic Concepts LLC,Navy,NAVSEA,NY,N03-074,,"$52,850,619","$645,537",2024,Development of a Supportability Performance Assessment System for Training System,https://navysbir.us/success/,procurement,independent,marquee
American Systems Corp,Navy,NAVSEA,VA,N00-123,,"$14,487,700","$669,986",2024,Ship Mission Readiness Measurement System,https://navysbir.us/success/,procurement,independent,marquee
Architecture Technology Corporation,Navy,NAVAIR,MN,N132-099 N151-015,,"$4,549,851","$3,819,313",2024,"Designed and Built Typhon, a Code Profiler Software",https://navysbir.us/success/,procurement,independent,marquee
"Bascom Hunter Technologies, Inc.",Navy,ONR,LA,N112-170,,"$14,110,672","$7,800,382",2024,Wideband Radio Local Interference Optimization Techniques,https://navysbir.us/success/,procurement,independent,marquee
BSC Partners LLC,Navy,NAVAIR,NY,N02-152,,"$71,882,496","$2,293,966",2024,Helicopter Operations Aircrew/ Crew Chief Trainer,https://navysbir.us/success/,procurement,independent,marquee
"Carley Technologies, Inc.",Navy,ONR,PA,N192-129,,"$1,348,634","$1,239,911",2024,Detecting Adversarial BENDs in the Information Environment,https://navysbir.us/success/,procurement,independent,marquee
"Craft Engineering Associates, Inc.",Navy,ONR,VA,N05-157,,"$2,087,797","$784,466",2024,Dynamic Positioning and Motion Control during Cargo Transfer Operations,https://navysbir.us/success/,procurement,independent,marquee
Creare LLC,Navy,NAVAIR,NY,N01-161 N05-095 N04-255,,"$6,990,591","$1,993,991",2024,Hearing Protection Helmet (HPH),https://navysbir.us/success/,procurement,independent,marquee
Frontier Technology Inc.,Navy,NAVAIR,OH,N07-010 N132-096,,"$42,837,000","$1,730,677",2024,Advanced Prognostic and Health Management (PHM),https://navysbir.us/success/,procurement,independent,marquee
"G2 Ops, Inc.",Navy,NAVSEA,VA,AF192-001,,"$59,645,680","$999,808",2024,Embedded Cyber Resiliency (ECR) Tool Suite,https://navysbir.us/success/,procurement,independent,marquee
