firm,agency,command,prior_sbir,transition_contract,transition_value,year,transition_type,stratum,has_contract_id,source_url,description
Radiant Analytic Solutions,SOCOM,SOCOM,,H9222217C0034,"$36,727,297",2017,procurement,hard,yes,https://www.usaspending.gov/award/CONT_AWD_H9222217C0034_9700_-NONE-_-NONE-,Largest SOCOM Phase III find (IGF/OT)
Ceebus Technologies,SOCOM,SOCOM,C3SA,H9222214P0003,"$143,056",2013,procurement,hard,yes,https://www.usaspending.gov/award/CONT_AWD_H9222214P0003_9700_-NONE-_-NONE-,SOCOM C3SA Phase III
Russell Technical Consulting Services,DLA,DLA,PHIII-0045,SP470126C0035,"$5,000,000",2026,procurement,hard,yes,https://www.usaspending.gov/award/CONT_AWD_SP470126C0035_9700_-NONE-_-NONE-,Integrated aerospace test & evaluation framework
Intellisense Systems,DLA,DLA,PH III-0039,SP470126C0028,"$3,046,649",2026,procurement,hard,yes,https://www.usaspending.gov/award/CONT_AWD_SP470126C0028_9700_-NONE-_-NONE-,Paladin A6 computer-unit procurement
Petrus J. Barnard,DLA,DLA,,SP470124C0038; SP470125C0074; SP470124C0059,$2.7M; $1.2M; $1.0M,2024,procurement,hard,yes,https://www.usaspending.gov/award/CONT_AWD_SP470124C0038_9700_-NONE-_-NONE-,Isomolded graphite for hypersonics (sole-proprietor awardee)
Cepeda Associates,DLA,DLA,PH III-0020,SP470125C0087,"$2,000,000",2025,procurement,hard,yes,https://www.usaspending.gov/award/CONT_AWD_SP470125C0087_9700_-NONE-_-NONE-,I&D fixture design-build
Alkemix Corporation,DLA,DLA,PH III-0028,SP470125C0089; SP470125C0064; SP470123C0024,$1.95M; $250K; $240K,2025,procurement,hard,yes,https://www.usaspending.gov/award/CONT_AWD_SP470125C0089_9700_-NONE-_-NONE-,Boron-carbide recovery from ballistic armor plates
Kaney Aerospace,DLA,DLA,PH III-0011,SP470124C0068,"$1,000,000",2024,procurement,hard,yes,https://www.usaspending.gov/award/CONT_AWD_SP470124C0068_9700_-NONE-_-NONE-,APS pressure-switch qualification
Bascom Hunter Technologies,DLA,DLA,SBIR 23.1 PIII-0012,SP470124C0062,"$1,000,000",2024,procurement,hard,yes,https://www.usaspending.gov/award/CONT_AWD_SP470124C0062_9700_-NONE-_-NONE-,Navy vacuum-pump replacement
Triton Systems,DLA,DLA,,SP470124C0051,"$838,856",2024,procurement,hard,yes,https://www.usaspending.gov/award/CONT_AWD_SP470124C0051_9700_-NONE-_-NONE-,Separation/compositing/recycling system
A&B Foundry,DLA,DLA,DLA231-001 PH III-0013,SP470125C0043,"$480,268",2025,procurement,hard,yes,https://www.usaspending.gov/award/CONT_AWD_SP470125C0043_9700_-NONE-_-NONE-,B-2 bomber coupling shear articles
Tusaar Corp,DLA,DLA,PH III-0044,SP470126C0032,"$449,998",2026,procurement,hard,yes,https://www.usaspending.gov/award/CONT_AWD_SP470126C0032_9700_-NONE-_-NONE-,Yttrium production from phosphor waste
Mainstream Engineering Corp,DLA,DLA,,SP470123C0040,"$324,988",2023,procurement,hard,yes,https://www.usaspending.gov/award/CONT_AWD_SP470123C0040_9700_-NONE-_-NONE-,DLA SBIR Phase III
Turnaround Factor,DLA,DLA,,SP470124C0049,"$135,097",2024,procurement,hard,yes,https://www.usaspending.gov/award/CONT_AWD_SP470124C0049_9700_-NONE-_-NONE-,D-UGR assembly facility set-up/training
Morphix Technologies,DTRA,DTRA,CHAMELEON,HDTRA110C0037,"$2,035,004",2010,procurement,hard,yes,https://www.usaspending.gov/award/CONT_AWD_HDTRA110C0037_9700_-NONE-_-NONE-,Chameleon chemical-detection
Michigan Aerospace Corp,DTRA,DTRA,NSPECT,HDTRA111C0054,"$1,144,474",2011,procurement,hard,yes,https://www.usaspending.gov/award/CONT_AWD_HDTRA111C0054_9700_-NONE-_-NONE-,NSPECT
Energetic Materials & Products,DTRA,DTRA,,HDTRA110C0060,"$767,846",2010,procurement,hard,yes,https://www.usaspending.gov/award/CONT_AWD_HDTRA110C0060_9700_-NONE-_-NONE-,Reactive-material IED/CW countermeasures
Protection Engineering Consultants,DTRA,DTRA,,HDTRA113C0012,"$756,060",2012,procurement,hard,yes,https://www.usaspending.gov/award/CONT_AWD_HDTRA113C0012_9700_-NONE-_-NONE-,DTRA SBIR Phase III
General Sciences,DTRA,DTRA,AD3 payloads,HDTRA107C0074,"$327,890",2007,procurement,hard,yes,https://www.usaspending.gov/award/CONT_AWD_HDTRA107C0074_9700_-NONE-_-NONE-,AD3 payloads
Creare LLC,DHA,DHA,P-10106C,W81XWH13C0194,"$6,937,369",2013,procurement,hard,yes,https://www.usaspending.gov/award/CONT_AWD_W81XWH13C0194_9700_-NONE-_-NONE-,Multi-award medical R&D Phase III
Pelagique,DHA,DHA,,W81XWH11C0529; W81XWH16C0146,$6.0M; $2.0M,2011,procurement,hard,yes,https://www.usaspending.gov/award/CONT_AWD_W81XWH11C0529_9700_-NONE-_-NONE-,Medical R&D Phase III
Phase Forward,DHA,DHA,,W81XWH08C0707,"$4,841,708",2008,procurement,hard,yes,https://www.usaspending.gov/award/CONT_AWD_W81XWH08C0707_9700_-NONE-_-NONE-,SBIR Phase III
NeuroWave Systems,DHA,DHA,JW190526,W81XWH20C0115,"$3,924,548",2020,procurement,hard,yes,https://www.usaspending.gov/award/CONT_AWD_W81XWH20C0115_9700_-NONE-_-NONE-,Medical R&D Phase III
Emergent Travel Health,DHA,DHA,,W81XWH16C0127,"$3,161,941",2016,procurement,hard,yes,https://www.usaspending.gov/award/CONT_AWD_W81XWH16C0127_9700_-NONE-_-NONE-,SBIR Phase III (IGF)
Starix Technology,DHA,DHA,DHP163-008,W81XWH20C0118,"$2,883,365",2020,procurement,hard,yes,https://www.usaspending.gov/award/CONT_AWD_W81XWH20C0118_9700_-NONE-_-NONE-,Ultra-Wideband Intercom System via RIF
Moberg Research,DHA,DHA,,W81XWH12C0189,"$2,271,227",2012,procurement,hard,yes,https://www.usaspending.gov/award/CONT_AWD_W81XWH12C0189_9700_-NONE-_-NONE-,SBIR Phase III
Lifeware Labs,DHA,DHA,Army 2016.1 DM190051,W81XWH20C0081,"$2,244,374",2020,procurement,hard,yes,https://www.usaspending.gov/award/CONT_AWD_W81XWH20C0081_9700_-NONE-_-NONE-,Secure wireless disposable physiological monitor
LaunchBay,DHA,DHA,,W81XWH12C0172; W81XWH19C0109; W81XWH16C0210,$2.06M; $1.15M; $965K,2012,procurement,hard,yes,https://www.usaspending.gov/award/CONT_AWD_W81XWH12C0172_9700_-NONE-_-NONE-,Triton bednet research
Cornerstone Research Group,DHA,DHA,,W81XWH15C0050; HT942523P0076,"$1,903,218; $124,899",2015,procurement,hard,yes,https://www.usaspending.gov/award/CONT_AWD_W81XWH15C0050_9700_-NONE-_-NONE-,DHA Phase III
Sonivate Medical,DHA,DHA,,W81XWH12C0194,"$1,749,861",2012,procurement,hard,yes,https://www.usaspending.gov/award/CONT_AWD_W81XWH12C0194_9700_-NONE-_-NONE-,SBIR Phase III
BioSentinel,DHA,DHA,,W81XWH13C0093,"$1,697,368",2013,procurement,hard,yes,https://www.usaspending.gov/award/CONT_AWD_W81XWH13C0093_9700_-NONE-_-NONE-,SBIR Phase III
Piasecki Aircraft,DHA,DHA,A08-121 (ARES),W81XWH19C0069; W81XWH18C0365,"$1,494,736; $727,476",2019,procurement,hard,yes,https://www.usaspending.gov/award/CONT_AWD_W81XWH19C0069_9700_-NONE-_-NONE-,ARES-compatible mobile multi-mission
Near Earth Autonomy,DHA,DHA,Army 2018.2,W81XWH20C0062,"$1,386,051",2020,procurement,hard,yes,https://www.usaspending.gov/award/CONT_AWD_W81XWH20C0062_9700_-NONE-_-NONE-,Just-in-time whole-blood delivery via UAS
Advanced Circulatory Systems,DHA,DHA,,W81XWH12C0181,"$1,349,716",2012,procurement,hard,yes,https://www.usaspending.gov/award/CONT_AWD_W81XWH12C0181_9700_-NONE-_-NONE-,SBIR Phase III
