firm,contract_or_piid,reason
Anduril Industries,DIU production OT (OT# pending; lineage to confirm),no_piid_in_contract_text
EpiSys Science (EpiSci),DIU production OT (OT# pending; lineage to confirm),no_piid_in_contract_text
Sayari Analytics,70B06C25C00000130,thin_description
TIS3 LLC,70B02C25C00000173,thin_description
Accipiter Systems,TSA Apex Screening at Speed (program of record),no_piid_in_contract_text
Physical Sciences Inc,70RSAT21C00000015,piid_not_in_universe
Saildrone,NOAA hurricane/coastal-survey data task orders,no_piid_in_contract_text
Solvus Global,IDIQ + Task Order,no_piid_in_contract_text
Chitra Productions,T2COM sole-source Phase III,no_piid_in_contract_text
IperionX,$99M SBIR Phase III IDIQ (TO $1.3M),no_piid_in_contract_text
OpsLab,SBIR Phase III (undisclosed),no_piid_in_contract_text
Skypath Analytics,SBIR Phase III (Sept 2024),no_piid_in_contract_text
Compound Eye,CATALYST full funding,no_piid_in_contract_text
BILT Incorporated,STRATFI,no_piid_in_contract_text
Infleqtion,$10.9M APFIT + $0.75M TACFI,no_piid_in_contract_text
LiquidPiston,STRATFI,no_piid_in_contract_text
American Lithium Energy,STRATFI,no_piid_in_contract_text
Apex Technology,STRATFI,no_piid_in_contract_text
Impulse Space,STRATFI,no_piid_in_contract_text
Inversion Space,STRATFI,no_piid_in_contract_text
Turion Space,STRATFI,no_piid_in_contract_text
Portal Space Systems,STRATFI,no_piid_in_contract_text
ANDRO Computational Solutions,follow-on Phase II/III pathway,no_piid_in_contract_text
Innovative Defense Technologies,Phase III IDIQ (AEP),no_piid_in_contract_text
Innovative Defense Technologies,Phase III,no_piid_in_contract_text
SciTec,follow-on Phase III,no_piid_in_contract_text
Corvid Technologies,HQ0860-21-C-7300,piid_not_in_universe
Sayari Analytics,H9241524D0001,piid_not_in_universe
Techno-Sciences,Phase III,no_piid_in_contract_text
GS Engineering,H92222-11-D-0005,piid_not_in_universe
Knexus Research,SP470126D1649,piid_not_in_universe
Xylon Technical Ceramics,SP470122C0095,thin_description
BC Technical Center,SP470123C0026,thin_description
CRAFT Tech,HDTRA116C0011,thin_description
Weidlinger Associates,HDTRA113C0036,thin_description
Karagozian & Case,HDTRA113C0045,thin_description
SimVentions,Phase III (to OUSD R&E),no_piid_in_contract_text
Trident Systems,Phase III,no_piid_in_contract_text
Jariet Technologies,Phase III + Navy STEAM PIPE 24,no_piid_in_contract_text
NAVSYS,follow-on contracts,no_piid_in_contract_text
Indiana Microelectronics,Phase III (NSC OTA),no_piid_in_contract_text
Systems & Technology Research,Phase III follow-on,no_piid_in_contract_text
Charles River Analytics,Phase III via OSD RIF,no_piid_in_contract_text
REI Systems,Phase III (DSIP),no_piid_in_contract_text
SIMVENTIONS INC,0009,no_piid_in_contract_text
"GATR TECHNOLOGIES, INC.",W9113M08C0205,thin_description
"CORVID TECHNOLOGIES, LLC",HQ000609C7090,thin_description
"CORVID TECHNOLOGIES, LLC",HQ014710C7093,thin_description
SIMVENTIONS INC,0025,no_piid_in_contract_text
"SAN DIEGO COMPOSITES, INC",HQ000610C7091,thin_description
TREX ENTERPRISES CORPORATION,HQ014713C7002,thin_description
"PLASMA PROCESSES, LLC",HQ014716C7904,thin_description
QYNERGY CORPORATION,HQ014716C7900,thin_description
SCITEC INNOVATIONS LLC,HQ014718F7010,thin_description
"EXOTHERMICS, INC.",HQ014719C7900,thin_description
IERUS TECHNOLOGIES INC,HQ014719F5050,thin_description
"MODUS OPERANDI, INC.",HQ014719C7301,thin_description
INTEGRATION INNOVATION INC,HQ086020F7003,thin_description
IERUS TECHNOLOGIES INC,HQ086021F0021,thin_description
INTEGRATION INNOVATION INC,HQ086022F0018,thin_description
IERUS TECHNOLOGIES INC,HQ086023F0003,thin_description
