firm,matched_sbir_company,notice_class,award_number,agency,posted_date,sbir_match,n_prior_sbir,in_481,title,notice_id
NAVMAR Applied Sciences,NAVMAR APPLIED SCIENCES CORP,award,N68335-14-G-0040-0004,DEPT OF DEFENSE,2016-08-31 11:24:01-04,exact,73,False,SSP- -SBIR Phase III,382ab539a04c708f02e8c7c83faa99a3
NAVMAR Applied Sciences,NAVMAR APPLIED SCIENCES CORP,award,N68335-14-G-0040-0003,DEPT OF DEFENSE,2016-08-31 11:19:14-04,exact,73,False,SOCOM- -SBIR Phase III,67ebd0390e65659193e566ca83992646
"INTELLIGENT AUTOMATION, INC. 15400 CALHOUN DR STE 190 ROCKVILLE MD 20855-2814 US","Intelligent Automation, Inc.",award,D16PC00207,"INTERIOR, DEPARTMENT OF THE",2016-08-29 10:11:00-04,fuzzy,1245,False,A--IGF::OT::IGF Advance Mobile Security Through Fore,cd7052370cbb64f07a7aee3bba418d84
"Synoptos, Inc.",Synoptos Inc. ,intent_sole_source,,"AGRICULTURE, DEPARTMENT OF",2016-06-08 15:51:59-04,exact,1,False,Customer Service Monitoring,c15b9dc642f5bf776113088e43bba398
Seemann Composites Inc.,"SEEMANN COMPOSITES, INC.",award,N65540-15-D-0015,DEPT OF DEFENSE,2016-06-08 11:31:05-04,exact,7,True,"SBIR Phase III, Continued Research",9dba63bef0522cdf2f888fddeee5490d
MIDE,MIDE TECHNOLOGY CORP,award,N64498-16-P-5041,DEPT OF DEFENSE,2016-04-20 14:45:32-04,fuzzy,148,False,MIDE Phase III SBIR,0c9b9c718b717003cadb47951051b50f
Progeny Systems Corporation,"PROGENY SYSTEMS, LLC",intent_sole_source,,,2016-02-23 10:02:47-05,exact,309,True,End-of-Life Electronic Components,af2d4b510b95b32c6a3eb17c9079810e
"CapeSym, Inc. 6 Huron Drive, Suite 1B Natick ME 01760 USA",CAPESYM INC,award,HSHQDC-16-C-00010,"HOMELAND SECURITY, DEPARTMENT OF",2015-12-29 15:13:43-05,fuzzy,86,False,High Purity Precursor Materials for Growth of Large Single Crystals,c581e5b71ac2c9a0e84df552d7ac93d1
"Radiation Monitoring Sevices, Inc. 44 Hunt Street Watertown ME 02472 USA",,award,HSHQDC-16-C-00009,"HOMELAND SECURITY, DEPARTMENT OF",2015-12-29 14:40:35-05,none,0,False,Thallium Bromide (TlBr) Crystal Modules for Room and Near Room-Temperature Gamma Radiation Detection,26dc3c71a671f7f502654d7a0906b864
HUMANIT SOLUTIONS LLC Beavercreek Township OH 45431 USA,"J & J Solutions, Inc.",award,HQ003423C0134,DEPT OF DEFENSE,2023-09-30 18:54:36.272-04,fuzzy,5,False,Investigative Case Management System,043d30c79ded4cbe95b8564dbf824b66
"Nexgen Composites, LLC Summerville SC 29483 USA",NexGen Composites LLC,award,N6133123C0005,DEPT OF DEFENSE,2023-09-22 10:57:55.154-04,fuzzy,7,False,LCAC - Depot Repaired and Retrofitted PTM Zero,39c424be69a0447f9849f3f55a3a1435
Cloverleaf.me Inc.,"CLOVERLEAF.ME, INC.",intent_sole_source,,DEPT OF DEFENSE,2023-08-25 13:05:12.999-04,exact,2,False,Notice of Intent to Sole Source: SBIR Phase III Cloverleaf Platform,a8546d382f3447aeb38407994da6fd96
"Advanced Strategic Insight, Inc. Mc Lean VA 22101 USA","ADVANCED STRATEGIC INSIGHT, INC",award,W50S6N-23-P-0011,DEPT OF DEFENSE,2023-07-27 11:56:23.164-04,fuzzy,2,False,SBIR Phase III ELITE v3,55e9e895ec43457e9613ea3a928354d0
W5 Technologies,W5 Technologies Inc,intent_sole_source,,DEPT OF DEFENSE,2023-07-18 10:52:06.612-04,exact,11,True,Notice of Intent to Sole-Source - W5 Technologies,937d6bbf0aa64a839b2a0c7cd75e4a07
DANIEL H WAGNER ASSOCIATES INC Exton PA 19341 USA,DANIEL H WAGNER ASSOCIATES INC,award,N00024-23-C-5209,DEPT OF DEFENSE,2023-07-07 08:45:35.454-04,fuzzy,228,True,"Small Business Innovation Research (SBIR) Phase III for Undersea Warfare Decision Support Systems research, development, and modernization of algorithms and sof",0c6336fbe62a4aa79c153948ec407488
DANIEL H WAGNER ASSOCIATES INC Exton PA 19341 USA,DANIEL H WAGNER ASSOCIATES INC,award,N00024-23-C-5209,DEPT OF DEFENSE,2023-07-03 16:48:58.068-04,fuzzy,228,True,"Small Business Innovation Research (SBIR) Phase III for Undersea Warfare Decision Support Systems research, development, and modernization of algorithms and sof",ee21a1ae514d4863b61f74843edf2395
PROGENY SYSTEMS CORP VA 20110 USA,"PROGENY SYSTEMS, LLC",award,N6134023C0007,DEPT OF DEFENSE,2022-11-29 10:50:16.634-05,fuzzy,309,True,Surface Training Readiness Management System,bb834f66a67a47ac956a0fe199a3bfa4
AMSEL MEDICAL CORPORATION Cambridge MA 02141 USA,AMSEL MEDICAL CORPORATION,award,FA238424CB015,DEPT OF DEFENSE,2024-09-30 14:45:20.508-04,fuzzy,3,False,Temporary Vascular Occlusion Clamp (TVOC),d2c681896e5a473da99e52c08bb8230e
"RX BANDZ, INC. Austin TX 78732 USA","RX BANDZ, INC.",award,FA238424CB013,DEPT OF DEFENSE,2024-09-24 19:29:27.451-04,fuzzy,12,False,Tactical Injector Kit - Ketamine,dfdf3429c48d4329b6a56ea6919a6807
IDAHO SCIENTIFIC LLC Boise ID 83702 USA,IDAHO SCIENTIFIC LLC,award,FA8684-24-C-B013,DEPT OF DEFENSE,2024-09-05 20:40:59.395-04,fuzzy,8,False,"""BitterCloud"" Application-Specific Integrated Circuit",7e4ad12bd1b34e2a9794e3c14052c8a9
ENVISION TECHNOLOGY Manchester NH 03103 USA,"ENVISION TECHNOLOGY, LLC",award,H9240324D0012,DEPT OF DEFENSE,2024-08-30 15:21:40.172-04,fuzzy,13,False,Ranging Aiming Laser,cef6e7349c524160afb5bcc2570cf185
INVISIBLE PACK INC Huntsville AL 35805 USA,INVISIBLE PACK INC,award,FA460824F0084,DEPT OF DEFENSE,2024-08-29 15:07:55.053-04,fuzzy,1,False,CSUAS (Ghoul Tool Attachable Transmitter),82cfed5e082d4d9d87036826043950d5
DAU Cyber Training Range Embedded Systems,"Embedded Systems, LLC ",intent_sole_source,,DEPT OF DEFENSE,2024-08-09 18:09:49.305-04,fuzzy,4,False,Notice of Intent to Sole Source: DAU Cyber Training Range Embedded Systems,f65aa99c252a49619d37ffc95a137fcc
"Design Interactive, Inc. Orlando FL 32817 USA","Design Interactive, LLC",award,36C10X24C0012,"VETERANS AFFAIRS, DEPARTMENT OF",2024-05-10 14:27:44.982-04,fuzzy,113,False,Instructional Systems Design Capability Development,28342667757f4315a37550560ed8427a
PIVOTAL SPACE INC. Lafayette CO 80026 USA,PIVOTAL SPACE INC.,award,FA882125DB001,DEPT OF DEFENSE,2025-08-28 12:22:01.415-04,fuzzy,1,False,PERIGEE,2f7cbeb189334f2f829160438d49d9e8
LUMENA INC Golden CO 80401 USA,LUMENA INC,award,FA442725P0077,DEPT OF DEFENSE,2025-08-05 12:59:29.167-04,fuzzy,4,False,"Award Notice & Justification - Mind Gym Upgrade SBIR Phase III - Travis AFB, CA",096dfe6be96944e994e58779d0ce267d
"MARK G. MILLER, INC Layton UT 84041 USA","MARK G. MILLER, INC",award,W9132T25C0005,DEPT OF DEFENSE,2025-03-25 11:10:02.36-04,fuzzy,15,False,SBIR Phase III: Waste to Energy Technology Gap Analysis Tool Testing & Validation,890e2b9fb4c64dd69021eee724dec2cf
Dzyne Technologies Incorporated VA 22031-4526 USA,"DZYNE TECHNOLOGIES, LLC",award,FA8650-22-C-1175,DEPT OF DEFENSE,2022-06-22 10:33:24.146-04,fuzzy,42,False,DZYNE Technologies Incorporated SBIR Phase III,ef33f3c50a88465398a1c423d3352d69
"ARCTOS Technology Solutions, LLC OH 45432-2636 USA","ARCTOS Technology Solutions, LLC",award,FA8650-22-C-5292,DEPT OF DEFENSE,2022-04-21 10:27:45.955-04,fuzzy,25,False,"Rapid Assessment, Maturation, Prototyping, and Transition of Emerging Structural Technologies (RAMPTEST)",1bb60fc828ae4e54bc9e713f83678227
"award a Sole Source contract to Intellisense Systems, Inc.",INTELLISENSE SYSTEMS INC,intent_sole_source,,DEPT OF DEFENSE,2022-03-22 09:00:50.033-04,fuzzy,339,True,Advanced Micro Weather Stations,d832cf3ea8514850af1994ded6cda080
"Vertex Solutions, LLC IL 61822-7674 USA","VERTEX SOLUTIONS, LLC",award,FA3002-22-P-0002,DEPT OF DEFENSE,2021-12-15 11:45:51.275-05,fuzzy,4,False,Pilot Transformation Training Device Support Services I (PTT DSS I),e35b69f3e19146e4936909b6914fbf69
issue a sole source award to TSI,Tsi Inc.,intent_sole_source,,,2017-09-14 14:41:48-04,fuzzy,12,False,INTENT TO AWARD SOLE SOURCE Aerosol Monitors,eec7bbf6a01208384683d80aa36d2d34
Frontier Technology Inc. 4141 Colonel Glenn HWY Suite 140 BEAVERCREEK OH 45431 USA,FRONTIER TECHNOLOGY INC,award,N6833517F0134,DEPT OF DEFENSE,2017-08-01 09:45:18-04,fuzzy,163,True,"SBIR Phase III Topic MDA09-021 entitled "" Improvements in Spacecraft Asembly, Integration and Test",56c653057ba07fdce7ac9c37c85535a7
First FR Corporation BOULDER CO 80301 USA,,award,N68335-17-P-0328,DEPT OF DEFENSE,2017-07-31 13:24:16-04,none,0,False,Full Motion Video (FMV) Forward Antenna Feasibility Study,5fa09ef08eaf9fee725a68a9a68a82a4
this notice are due on or before July 10,,intent_sole_source,,,2017-06-29 17:20:30-04,none,0,False,D--HIG SST Cognitive Processing Therapy for PTSD eBook License,866a4f0c0b9dd6e62812fb52d340bd15
null,,intent_sole_source,,DEPT OF DEFENSE,2020-09-01 17:05:06.417-04,none,0,False,"Notice of Intent to Award Sole Source to Axalume, Inc.",c8b40eec530b49879e07cf92eb4c543c
"Vulcan Wireless, Inc.","VULCAN WIRELESS, INC.",award,N0003920C0009,DEPT OF DEFENSE,2020-06-12 16:37:02.157-04,exact,20,True,FY19 Rapid Innovation Fund - Miniaturized SWaP MUOS Functional Terminal,80840b0a88da4903a4c2879b362e22b5
"SANTA BARBARA INFRARED, INC. Santa Barbara CA USA","Santa Barbara Infrared, Inc",award,15F06720P0000783,"JUSTICE, DEPARTMENT OF",2020-05-07 11:42:00.524-04,fuzzy,2,False,Target Project and Implementation,519d56ccb0ec4f148d4e8466a2687010
