agency,mechanism,program,phase,fiscal_year,applications,awards,success_rate,dollars_awarded,mean_award_size,award_size_basis,source_id
NIH,nih_r01_equivalent,R01-equivalent,,1998,20039,6195,0.309147163,1527203790,246522,annual_average_size,nih_databook_r01_equivalent
NIH,nih_r01_equivalent,R01-equivalent,,1999,21944,7028,0.3202697776,1843774716,262347,annual_average_size,nih_databook_r01_equivalent
NIH,nih_r01_equivalent,R01-equivalent,,2000,22088,7063,0.319766389,1995940233,282591,annual_average_size,nih_databook_r01_equivalent
NIH,nih_r01_equivalent,R01-equivalent,,2001,21967,6965,0.3170665089,2118126150,304110,annual_average_size,nih_databook_r01_equivalent
NIH,nih_r01_equivalent,R01-equivalent,,2002,22212,6799,0.3060958041,2205085675,324325,annual_average_size,nih_databook_r01_equivalent
NIH,nih_r01_equivalent,R01-equivalent,,2003,24634,7430,0.3016156532,2533436820,340974,annual_average_size,nih_databook_r01_equivalent
NIH,nih_r01_equivalent,R01-equivalent,,2004,27461,6991,0.2545792214,2462328074,352214,annual_average_size,nih_databook_r01_equivalent
NIH,nih_r01_equivalent,R01-equivalent,,2005,28423,6463,0.2273862717,2337091893,361611,annual_average_size,nih_databook_r01_equivalent
NIH,nih_r01_equivalent,R01-equivalent,,2006,29097,6037,0.2074784342,2181210359,361307,annual_average_size,nih_databook_r01_equivalent
NIH,nih_r01_equivalent,R01-equivalent,,2007,27325,6456,0.2362671546,2343334320,362970,annual_average_size,nih_databook_r01_equivalent
NIH,nih_r01_equivalent,R01-equivalent,,2008,26648,6116,0.2295106575,2268088020,370845,annual_average_size,nih_databook_r01_equivalent
NIH,nih_r01_equivalent,R01-equivalent,,2009,26675,5924,0.2220805998,2299560548,388177,annual_average_size,nih_databook_r01_equivalent
NIH,nih_r01_equivalent,R01-equivalent,,2010,27850,6217,0.2232315978,2484978419,399707,annual_average_size,nih_databook_r01_equivalent
NIH,nih_r01_equivalent,R01-equivalent,,2011,28781,5380,0.1869288767,2178625620,404949,annual_average_size,nih_databook_r01_equivalent
NIH,nih_r01_equivalent,R01-equivalent,,2012,29626,5436,0.1834874772,2258369892,415447,annual_average_size,nih_databook_r01_equivalent
NIH,nih_r01_equivalent,R01-equivalent,,2013,28044,4902,0.174796748,1973393238,402569,annual_average_size,nih_databook_r01_equivalent
NIH,nih_r01_equivalent,R01-equivalent,,2014,27502,5163,0.1877318013,2205029529,427083,annual_average_size,nih_databook_r01_equivalent
NIH,nih_r01_equivalent,R01-equivalent,,2015,28970,5467,0.1887124612,2381015175,435525,annual_average_size,nih_databook_r01_equivalent
NIH,nih_r01_equivalent,R01-equivalent,,2016,30106,6010,0.1996279811,2754304870,458287,annual_average_size,nih_databook_r01_equivalent
NIH,nih_r01_equivalent,R01-equivalent,,2017,31221,6041,0.1934915602,2914148195,482395,annual_average_size,nih_databook_r01_equivalent
NIH,nih_r01_equivalent,R01-equivalent,,2018,34584,7517,0.2173548462,4016190277,534281,annual_average_size,nih_databook_r01_equivalent
NIH,nih_r01_equivalent,R01-equivalent,,2019,35085,7366,0.2099472709,4039440740,548390,annual_average_size,nih_databook_r01_equivalent
NIH,nih_r01_equivalent,R01-equivalent,,2020,36250,7767,0.214262069,4347034560,559680,annual_average_size,nih_databook_r01_equivalent
NIH,nih_r01_equivalent,R01-equivalent,,2021,37987,7627,0.2007792139,4359295747,571561,annual_average_size,nih_databook_r01_equivalent
NIH,nih_r01_equivalent,R01-equivalent,,2022,36198,7816,0.2159235317,4574759512,585307,annual_average_size,nih_databook_r01_equivalent
NIH,nih_r01_equivalent,R01-equivalent,,2023,35072,7592,0.2164689781,4562465544,600957,annual_average_size,nih_databook_r01_equivalent
NIH,nih_r01_equivalent,R01-equivalent,,2024,37478,7000,0.1867762421,4244751000,606393,annual_average_size,nih_databook_r01_equivalent
NIH,nih_r01_equivalent,R01-equivalent,,2025,42022,5471,0.1301937081,3632771355,664005,annual_average_size,nih_databook_r01_equivalent
