agency,mechanism,program,phase,fiscal_year,applications,awards,success_rate,dollars_awarded,mean_award_size,award_size_basis,source_id
NIH,nih_sbir_phase_i,SBIR,I,2015,3425,514,0.1500729927,117110555,227841.5467,competing_year_total_funding,nih_report_t215_2025
NIH,nih_sbir_fast_track,SBIR,Fast Track,2015,337,66,0.1958456973,18157545,275114.3182,competing_year_total_funding,nih_report_t215_2025
NIH,nih_sbir_phase_ii,SBIR,II,2015,442,163,0.3687782805,113088150,693792.3313,competing_year_total_funding,nih_report_t215_2025
NIH,nih_sbir_phase_ii_direct,SBIR,II-Direct,2015,347,65,0.1873198847,55150363,848467.1231,competing_year_total_funding,nih_report_t215_2025
NIH,nih_sbir_phase_iib,SBIR,IIB,2015,34,13,0.3823529412,11708214,900631.8462,competing_year_total_funding,nih_report_t215_2025
NIH,nih_sttr_phase_i,STTR,I,2015,911,149,0.1635565313,33782224,226726.3356,competing_year_total_funding,nih_report_t215_2025
NIH,nih_sttr_fast_track,STTR,Fast Track,2015,61,10,0.1639344262,2171909,217190.9,competing_year_total_funding,nih_report_t215_2025
NIH,nih_sttr_phase_ii,STTR,II,2015,87,31,0.3563218391,21597183,696683.3226,competing_year_total_funding,nih_report_t215_2025
NIH,nih_sbir_phase_i,SBIR,I,2016,4178,526,0.1258975586,121272849,230556.7471,competing_year_total_funding,nih_report_t215_2025
NIH,nih_sbir_fast_track,SBIR,Fast Track,2016,512,67,0.130859375,17348139,258927.4478,competing_year_total_funding,nih_report_t215_2025
NIH,nih_sbir_phase_ii,SBIR,II,2016,628,193,0.3073248408,146728352,760250.5285,competing_year_total_funding,nih_report_t215_2025
NIH,nih_sbir_phase_ii_direct,SBIR,II-Direct,2016,497,84,0.1690140845,74799524,890470.5238,competing_year_total_funding,nih_report_t215_2025
NIH,nih_sbir_phase_iib,SBIR,IIB,2016,69,22,0.3188405797,18677290,848967.7273,competing_year_total_funding,nih_report_t215_2025
NIH,nih_sbir_crp,SBIR,CRP,2016,67,15,0.223880597,9135503,609033.5333,competing_year_total_funding,nih_report_t215_2025
NIH,nih_sttr_phase_i,STTR,I,2016,1341,191,0.1424310216,44316736,232024.7958,competing_year_total_funding,nih_report_t215_2025
NIH,nih_sttr_fast_track,STTR,Fast Track,2016,109,16,0.1467889908,4866290,304143.125,competing_year_total_funding,nih_report_t215_2025
NIH,nih_sttr_phase_ii,STTR,II,2016,120,37,0.3083333333,29089887,786213.1622,competing_year_total_funding,nih_report_t215_2025
NIH,nih_sttr_phase_iib,STTR,IIB,2016,1,1,1,875076,875076,competing_year_total_funding,nih_report_t215_2025
NIH,nih_sbir_phase_i,SBIR,I,2017,3508,549,0.1564994299,130684068,238040.1967,competing_year_total_funding,nih_report_t215_2025
NIH,nih_sbir_fast_track,SBIR,Fast Track,2017,536,101,0.1884328358,33615578,332827.505,competing_year_total_funding,nih_report_t215_2025
NIH,nih_sbir_phase_ii,SBIR,II,2017,525,194,0.3695238095,151035773,778534.9124,competing_year_total_funding,nih_report_t215_2025
NIH,nih_sbir_phase_ii_direct,SBIR,II-Direct,2017,397,109,0.274559194,94532103,867267,competing_year_total_funding,nih_report_t215_2025
NIH,nih_sbir_phase_iib,SBIR,IIB,2017,53,21,0.3962264151,18813316,895872.1905,competing_year_total_funding,nih_report_t215_2025
NIH,nih_sbir_crp,SBIR,CRP,2017,90,26,0.2888888889,17543972,674768.1538,competing_year_total_funding,nih_report_t215_2025
NIH,nih_sttr_phase_i,STTR,I,2017,1049,169,0.1611058151,40460681,239412.3136,competing_year_total_funding,nih_report_t215_2025
NIH,nih_sttr_fast_track,STTR,Fast Track,2017,88,15,0.1704545455,4140054,276003.6,competing_year_total_funding,nih_report_t215_2025
NIH,nih_sttr_phase_ii,STTR,II,2017,88,34,0.3863636364,25306914,744321,competing_year_total_funding,nih_report_t215_2025
NIH,nih_sttr_phase_iib,STTR,IIB,2017,0,0,,0,,competing_year_total_funding,nih_report_t215_2025
NIH,nih_sbir_phase_i,SBIR,I,2018,3607,665,0.1843637372,164092776,246756.0541,competing_year_total_funding,nih_report_t215_2025
NIH,nih_sbir_fast_track,SBIR,Fast Track,2018,731,148,0.2024623803,42420240,286623.2432,competing_year_total_funding,nih_report_t215_2025
NIH,nih_sbir_phase_ii,SBIR,II,2018,531,224,0.4218455744,176948384,789948.1429,competing_year_total_funding,nih_report_t215_2025
