report_year,table_number,jurisdiction,program,phase,published_count,recomputed_count,signed_difference,absolute_difference,comparison_status
2020,18,AK,SBIR,Phase I,3,3,0,0,exact
2020,18,AK,SBIR,Phase II,0,0,0,0,exact
2020,18,AK,STTR,Phase I,0,0,0,0,exact
2020,18,AK,STTR,Phase II,0,0,0,0,exact
2020,18,AL,SBIR,Phase I,68,71,3,3,unresolved
2020,18,AL,SBIR,Phase II,37,38,1,1,unresolved
2020,18,AL,STTR,Phase I,18,18,0,0,exact
2020,18,AL,STTR,Phase II,8,8,0,0,exact
2020,18,AR,SBIR,Phase I,11,11,0,0,exact
2020,18,AR,SBIR,Phase II,7,8,1,1,unresolved
2020,18,AR,STTR,Phase I,4,4,0,0,exact
2020,18,AR,STTR,Phase II,0,0,0,0,exact
2020,18,AZ,SBIR,Phase I,74,77,3,3,unresolved
2020,18,AZ,SBIR,Phase II,35,39,4,4,unresolved
2020,18,AZ,STTR,Phase I,20,18,-2,2,unresolved
2020,18,AZ,STTR,Phase II,5,4,-1,1,unresolved
2020,18,CA,SBIR,Phase I,834,813,-21,21,unresolved
2020,18,CA,SBIR,Phase II,466,489,23,23,unresolved
2020,18,CA,STTR,Phase I,120,121,1,1,unresolved
2020,18,CA,STTR,Phase II,43,42,-1,1,unresolved
2020,18,CO,SBIR,Phase I,199,208,9,9,unresolved
2020,18,CO,SBIR,Phase II,97,104,7,7,unresolved
2020,18,CO,STTR,Phase I,25,26,1,1,unresolved
2020,18,CO,STTR,Phase II,15,14,-1,1,unresolved
2020,18,CT,SBIR,Phase I,36,41,5,5,unresolved
2020,18,CT,SBIR,Phase II,28,33,5,5,unresolved
2020,18,CT,STTR,Phase I,7,7,0,0,exact
2020,18,CT,STTR,Phase II,3,3,0,0,exact
2020,18,DC,SBIR,Phase I,29,24,-5,5,unresolved
2020,18,DC,SBIR,Phase II,12,12,0,0,exact
2020,18,DC,STTR,Phase I,4,3,-1,1,unresolved
2020,18,DC,STTR,Phase II,1,1,0,0,exact
2020,18,DE,SBIR,Phase I,19,18,-1,1,unresolved
2020,18,DE,SBIR,Phase II,10,12,2,2,unresolved
2020,18,DE,STTR,Phase I,11,10,-1,1,unresolved
2020,18,DE,STTR,Phase II,2,1,-1,1,unresolved
2020,18,FL,SBIR,Phase I,128,137,9,9,unresolved
2020,18,FL,SBIR,Phase II,49,58,9,9,unresolved
2020,18,FL,STTR,Phase I,21,25,4,4,unresolved
2020,18,FL,STTR,Phase II,11,15,4,4,unresolved
2020,18,GA,SBIR,Phase I,42,43,1,1,unresolved
2020,18,GA,SBIR,Phase II,26,27,1,1,unresolved
2020,18,GA,STTR,Phase I,16,19,3,3,unresolved
2020,18,GA,STTR,Phase II,5,4,-1,1,unresolved
2020,18,HI,SBIR,Phase I,25,24,-1,1,unresolved
2020,18,HI,SBIR,Phase II,19,21,2,2,unresolved
2020,18,HI,STTR,Phase I,2,2,0,0,exact
2020,18,HI,STTR,Phase II,1,1,0,0,exact
2020,18,IA,SBIR,Phase I,5,7,2,2,unresolved
2020,18,IA,SBIR,Phase II,11,11,0,0,exact
2020,18,IA,STTR,Phase I,3,3,0,0,exact
2020,18,IA,STTR,Phase II,1,1,0,0,exact
2020,18,ID,SBIR,Phase I,9,8,-1,1,unresolved
2020,18,ID,SBIR,Phase II,4,5,1,1,unresolved
2020,18,ID,STTR,Phase I,1,0,-1,1,unresolved
2020,18,ID,STTR,Phase II,0,0,0,0,exact
2020,18,IL,SBIR,Phase I,74,78,4,4,unresolved
