state,sbir_p1_n,sbir_p1_usd,sttr_p1_n,sttr_p1_usd,sbir_p2_n,sbir_p2_usd,sttr_p2_n,sttr_p2_usd,sbir_tot_n,sbir_tot_usd,sttr_tot_n,sttr_tot_usd,all_tot_n,all_tot_usd
AK,0,0,1,298871,1,7597,2,985138,1,7597,3,1284009,4,1291606
AL,64,9174721,15,2068887,50,51424569,9,9058172,114,60599290,24,11127059,138,71726348
AR,6,1998754,7,1282982,5,4397208,2,2488439,11,6395962,9,3771421,20,10167383
AZ,58,8982149,11,1893950,31,31746147,4,3766207,89,40728296,15,5660157,104,46388453
CA,700,122815131,101,19084526,400,441661260,37,39689015,1100,564476391,138,58773541,1238,623249932
CO,154,22597448,28,5017695,81,83203642,7,6248162,235,105801090,35,11265857,270,117066947
CT,33,8202356,6,1654601,16,22707703,1,1737374,49,30910059,7,3391975,56,34302034
DC,11,1801962,3,536216,5,6395314,0,0,16,8197276,3,536216,19,8733492
DE,21,3056581,8,1536291,15,16856706,3,1557434,36,19913288,11,3093725,47,23007013
FL,96,14683047,18,3037110,49,48999202,10,8362263,145,63682249,28,11399374,173,75081623
GA,35,6815743,13,2668840,20,29628261,3,2688366,55,36444004,16,5357206,71,41801210
HI,23,3451302,2,444998,18,13215579,0,0,41,16666882,2,444998,43,17111880
IA,11,1725812,1,349860,9,10265360,0,837082,20,11991172,1,1186942,21,13178114
ID,0,39702,0,0,3,3422212,0,248844,3,3461914,0,248844,3,3710758
IL,69,11429489,17,3949861,39,37364097,7,6687711,108,48793586,24,10637572,132,59431158
IN,30,4734227,7,1651951,16,16916614,1,2240073,46,21650841,8,3892024,54,25542865
KS,9,1815857,0,0,3,2985169,2,1748543,12,4801026,2,1748543,14,6549569
KY,19,4156735,4,842743,12,13221485,2,1900453,31,17378220,6,2743196,37,20121416
LA,9,1703434,1,125000,4,4581101,1,963541,13,6284535,2,1088541,15,7373076
MA,353,63360109,55,10950241,213,230094636,25,25376020,566,293454744,80,36326261,646,329781005
MD,163,29919775,32,4985675,82,90499019,15,14849803,245,120418794,47,19835478,292,140254271
ME,4,572217,0,0,2,3429155,0,0,6,4001372,0,0,6,4001372
MI,60,9508330,20,3778483,43,43509905,3,3030938,103,53018235,23,6809421,126,59827657
MN,62,11874875,6,1311113,27,32205280,4,4900050,89,44080155,10,6211163,99,50291318
MO,22,4878868,9,2214224,13,16701398,0,0,35,21580266,9,2214224,44,23794490
MS,6,672596,1,216429,5,4206567,0,0,11,4879163,1,216429,12,5095592
MT,15,2223132,4,738325,9,7846655,2,1494626,24,10069787,6,2232951,30,12302738
NC,79,16717134,22,4786509,47,57875659,9,13840335,126,74592793,31,18626844,157,93219637
ND,1,100000,1,154590,1,310000,0,0,2,410000,1,154590,3,564590
NE,6,942592,0,0,7,4338028,1,1716431,13,5280620,1,1716431,14,6997051
NH,39,5620106,10,1775794,27,28887556,1,2579971,66,34507662,11,4355765,77,38863427
NJ,60,10446666,16,3192623,38,42995980,4,4041220,98,53442647,20,7233843,118,60676490
NM,46,6524894,5,749981,20,22725630,5,6043830,66,29250524,10,6793811,76,36044335
NV,6,1064772,3,471817,2,3008786,1,1249800,8,4073559,4,1721617,12,5795176
NY,136,27297316,20,3981387,82,87605007,12,12739200,218,114902323,32,16720587,250,131622910
OH,120,18187332,27,4250451,70,69611395,14,11548593,190,87798727,41,15799044,231,103597771
OK,8,1316649,1,144537,7,9786551,1,749994,15,11103200,2,894531,17,11997731
OR,48,10262723,3,735749,23,25033030,2,2394714,71,35295753,5,3130463,76,38426217
PA,116,20084376,30,5422189,79,84419135,3,6078768,195,104503510,33,11500957,228,116004467
PR,7,1436653,1,149507,5,3921080,1,499020,12,5357733,2,648527,14,6006260
RI,5,821630,0,0,1,1505136,0,0,6,2326766,0,0,6,2326766
SC,13,2027125,4,2155410,10,10392922,0,0,23,12420047,4,2155410,27,14575457
SD,6,824589,1,225000,1,1470311,0,0,7,2294900,1,225000,8,2519900
TN,16,2446078,5,1149485,16,13218544,5,3614548,32,15664622,10,4764033,42,20428655
TX,141,22406629,36,6554601,66,70688799,19,19732174,207,93095428,55,26286775,262,119382203
UT,42,7806101,12,2263989,30,32762488,3,5297296,72,40568589,15,7561285,87,48129874
VA,192,28786228,29,4667792,110,115153056,7,9473082,302,143939284,36,14140874,338,158080158
VT,11,1444448,3,524918,4,6726654,0,0,15,8171102,3,524918,18,8696020
WA,62,12653427,7,1468412,39,44447372,1,2049918,101,57100799,8,3518330,109,60619128
WI,23,5330559,7,1284733,11,13500005,3,3141502,34,18830565,10,4426235,44,23256800
WV,7,892962,0,0,4,3730965,0,0,11,4623927,0,0,11,4623927
WY,3,736383,1,224740,4,5231447,0,0,7,5967830,1,224740,8,6192570
