state,sbir_p1_n,sbir_p1_usd,sttr_p1_n,sttr_p1_usd,sbir_p2_n,sbir_p2_usd,sttr_p2_n,sttr_p2_usd,sbir_tot_n,sbir_tot_usd,sttr_tot_n,sttr_tot_usd,all_tot_n,all_tot_usd,sttr_phase_misaligned,dollar_residual_usd
AK,2,843538,1,358435,0,0,0,0,2,843538,1,358435,3,1201973,False,0
AL,66,11804741,22,3439161,29,43295643,7,5491024,95,55100384,29,8930185,124,64030569,False,0
AR,9,2148618,1,423422,3,2572242,1,1085780,12,4720860,2,1509202,14,6230062,False,0
AZ,80,12998191,19,3669473,29,28712157,5,4880564,109,41710348,24,8550037,133,50260385,False,0
CA,849,147258149,80,15438216,444,522056694,35,45708837,1293,669314843,115,61147053,1408,730461896,False,0
CO,180,24871567,26,4434201,115,124256355,11,12085461,295,149127922,37,16519662,332,165647584,False,0
CT,55,10519411,8,1926093,30,28810507,3,2776107,85,39329919,11,4702200,96,44032119,False,1
DC,21,2642934,4,672749,12,11627446,2,1942036,33,14270380,6,2614785,39,16885165,False,0
DE,21,3302760,8,1120484,9,11689412,3,4640169,30,14992172,11,5760653,41,20752825,False,0
FL,111,15445586,20,4392740,71,87967568,9,11932074,182,103413154,29,16324814,211,119737967,False,1
GA,62,12025510,10,2261094,23,33718509,2,4424412,85,45744019,12,6685506,97,52429525,False,0
HI,26,3631130,6,1049758,19,19595484,2,2548104,45,23226614,8,3597862,53,26824476,False,0
IA,17,3270477,2,377000,4,3660587,1,894987,21,6931064,3,1271987,24,8203051,False,0
ID,6,730000,0,0,1,2110858,0,0,7,2840858,0,0,7,2840858,False,0
IL,95,16089554,24,5456305,31,38921729,9,9793589,126,55011283,33,15249894,159,70261177,False,0
IN,42,6110918,8,1589583,15,13191885,2,1742664,57,19302803,10,3332247,67,22635050,False,0
KS,17,3552433,2,296928,2,3157626,0,996130,19,6710059,2,1293058,21,8003117,False,0
KY,16,3335455,3,510426,11,14857375,3,3479527,27,18192829,6,3989953,33,22182782,False,1
LA,15,1868123,5,1305883,8,6542719,0,0,23,8410842,5,1305883,28,9716725,False,0
MA,393,77127464,70,13611271,233,281362791,30,36424677,626,358490255,100,50035948,726,408526203,False,0
MD,167,32591897,28,4946624,97,123166018,11,13879699,264,155757915,39,18826323,303,174584237,False,1
ME,6,1024215,1,249250,2,2153391,0,0,8,3177606,1,249250,9,3426856,False,0
MH,0,0,15,3215826,1,171153,8,10608580,1,171153,0,0,1,171153,True,0
MI,87,15131381,7,1315285,49,48112152,3,6779054,136,63243534,23,13824406,159,77067939,True,2
MN,52,10676988,15,3966525,34,43648911,2,2871681,86,54325898,10,8094339,96,62420237,True,1
MO,32,7200000,2,332356,13,17642195,0,0,45,24842195,17,6838206,62,31680401,True,0
MS,1,99990,1,247774,1,499972,1,746516,2,599962,2,332356,4,932318,True,0
