state,p1_awards,p1_dollars_k,p2_awards,p2_dollars_k,total_awards,total_dollars_k
Alabama,60,4328,23,13766,83,18094
Alaska,5,303,0,0,5,303
Arizona,64,4632,11,4810,75,9442
Arkansas,1,70,0,0,1,70
California,665,51361,280,154449,940,205810
Colorado,113,8195,51,27841,164,36036
Connecticut,94,6915,45,26934,139,33849
Delaware,13,886,4,1685,17,2571
District of Columbia,9,1242,2,900,11,2142
Florida,70,5367,25,12786,95,18153
Georgia,16,1228,12,6576,28,7804
Hawaii,8,624,4,1782,12,2406
Idaho,3,175,5,1447,8,1622
Illinois,49,3977,13,6945,62,10922
Indiana,13,1080,7,3909,20,4989
Iowa,4,218,0,0,4,218
Kansas,4,264,7,5064,11,5328
Kentucky,6,451,2,1033,8,1484
Louisiana,12,801,0,0,12,801
Maine,12,967,3,1844,15,2811
Maryland,148,12675,56,28761,204,41436
Massachusetts,453,34563,181,108059,634,142622
Michigan,70,5364,28,13830,98,19194
Minnesota,60,4811,18,10619,78,15430
Mississippi,3,240,1,570,4,810
Missouri,14,1069,3,1266,17,2335
Montana,2,135,4,1794,6,1929
Nebraska,1,98,2,1204,3,1302
Nevada,7,496,1,745,8,1241
New Hampshire,37,2759,16,8973,53,11732
New Jersey,90,6729,46,25549,136,32278
New Mexico,61,4308,23,14306,84,18614
New York,137,10564,70,40640,207,51204
North Carolina,35,2711,14,7774,49,10485
North Dakota,3,188,2,538,5,726
Ohio,114,8412,50,29308,164,37720
Oklahoma,6,464,4,1743,10,2207
Oregon,53,4180,15,8544,68,12724
Pennsylvania,91,6860,50,29040,141,35900
Rhode Island,10,823,2,899,12,1722
South Carolina,6,396,0,0,6,396
South Dakota,5,338,0,0,5,338
Tennessee,31,2285,11,5251,42,7536
Texas,123,9275,38,23161,161,32436
Utah,33,2612,12,7274,45,9886
Vermont,7,589,5,2333,12,2922
Virginia,150,11405,75,44730,225,56135
Washington,84,6310,32,18995,116,25305
Wisconsin,29,2190,10,6438,39,8628
Wyoming,1,60,0,0,1,60
