juris,Program,Phase,published,usable,recomputed,delta,tolerance,within_tolerance,report_year,exclusion_reason
AK,SBIR,Phase I,2,True,2,0,6,True,2019,
AK,SBIR,Phase II,0,True,0,0,6,True,2019,
AK,STTR,Phase I,1,True,1,0,6,True,2019,
AK,STTR,Phase II,0,True,0,0,6,True,2019,
AL,SBIR,Phase I,66,True,66,0,13,True,2019,
AL,SBIR,Phase II,29,True,27,-2,6,True,2019,
AL,STTR,Phase I,22,True,21,-1,6,True,2019,
AL,STTR,Phase II,7,True,6,-1,6,True,2019,
AR,SBIR,Phase I,9,True,9,0,6,True,2019,
AR,SBIR,Phase II,3,True,3,0,6,True,2019,
AR,STTR,Phase I,1,True,1,0,6,True,2019,
AR,STTR,Phase II,1,True,0,-1,6,True,2019,
AZ,SBIR,Phase I,80,True,82,2,16,True,2019,
AZ,SBIR,Phase II,29,True,28,-1,6,True,2019,
AZ,STTR,Phase I,19,True,18,-1,6,True,2019,
AZ,STTR,Phase II,5,True,5,0,6,True,2019,
CA,SBIR,Phase I,849,True,834,-15,170,True,2019,
CA,SBIR,Phase II,444,True,435,-9,89,True,2019,
CA,STTR,Phase I,80,True,78,-2,16,True,2019,
CA,STTR,Phase II,35,True,34,-1,7,True,2019,
CO,SBIR,Phase I,180,True,185,5,36,True,2019,
CO,SBIR,Phase II,115,True,121,6,23,True,2019,
CO,STTR,Phase I,26,True,26,0,6,True,2019,
CO,STTR,Phase II,11,True,11,0,6,True,2019,
CT,SBIR,Phase I,55,True,59,4,11,True,2019,
CT,SBIR,Phase II,30,True,31,1,6,True,2019,
CT,STTR,Phase I,8,True,10,2,6,True,2019,
CT,STTR,Phase II,3,True,3,0,6,True,2019,
DC,SBIR,Phase I,21,True,18,-3,6,True,2019,
DC,SBIR,Phase II,12,True,8,-4,6,True,2019,
DC,STTR,Phase I,4,True,4,0,6,True,2019,
DC,STTR,Phase II,2,True,2,0,6,True,2019,
DE,SBIR,Phase I,21,True,23,2,6,True,2019,
DE,SBIR,Phase II,9,True,5,-4,6,True,2019,
DE,STTR,Phase I,8,True,7,-1,6,True,2019,
DE,STTR,Phase II,3,True,4,1,6,True,2019,
FL,SBIR,Phase I,111,True,119,8,22,True,2019,
FL,SBIR,Phase II,71,True,82,11,14,True,2019,
FL,STTR,Phase I,20,True,23,3,6,True,2019,
