report_year,jurisdiction,program,phase,published_count,recomputed_count,delta,tolerance,within_tolerance,published_dollars,recomputed_dollars,dollar_delta,classification
2020,AK,SBIR,Phase I,3,3,0,6,True,544444,464444,-80000,revised_upstream
2020,AK,SBIR,Phase II,0,0,0,6,True,0,0,0,exact
2020,AK,STTR,Phase I,0,0,0,6,True,0,0,0,exact
2020,AK,STTR,Phase II,0,0,0,6,True,0,0,0,exact
2020,AL,SBIR,Phase I,68,71,3,14,True,9571943,10610477,1038534,revised_upstream
2020,AL,SBIR,Phase II,37,38,1,7,True,42092343,38075153,-4017190,revised_upstream
2020,AL,STTR,Phase I,18,18,0,6,True,3005932,2956097,-49835,revised_upstream
2020,AL,STTR,Phase II,8,8,0,6,True,5883997,8946922,3062925,revised_upstream
2020,AR,SBIR,Phase I,11,11,0,6,True,2213757,2213562,-195,revised_upstream
2020,AR,SBIR,Phase II,7,8,1,6,True,7613078,8396746,783668,revised_upstream
2020,AR,STTR,Phase I,4,4,0,6,True,601982,698783,96801,revised_upstream
2020,AR,STTR,Phase II,0,0,0,6,True,585965,0,-585965,revised_upstream
2020,AZ,SBIR,Phase I,74,77,3,15,True,12367014,12844946,477932,revised_upstream
2020,AZ,SBIR,Phase II,35,39,4,7,True,41919590,44729131,2809541,revised_upstream
2020,AZ,STTR,Phase I,20,18,-2,6,True,4016620,3351498,-665122,revised_upstream
2020,AZ,STTR,Phase II,5,4,-1,6,True,4223366,3254905,-968461,revised_upstream
2020,CA,SBIR,Phase I,834,813,-21,167,True,136176892,134008933,-2167959,revised_upstream
2020,CA,SBIR,Phase II,466,489,23,93,True,635934864,638407874,2473010,revised_upstream
2020,CA,STTR,Phase I,120,121,1,24,True,23919659,25193999,1274340,revised_upstream
2020,CA,STTR,Phase II,43,42,-1,9,True,41022334,40689237,-333097,revised_upstream
2020,CO,SBIR,Phase I,199,208,9,40,True,30269142,31097948,828806,revised_upstream
2020,CO,SBIR,Phase II,97,104,7,19,True,114937876,117046063,2108187,revised_upstream
2020,CO,STTR,Phase I,25,26,1,6,True,5038527,5173799,135272,revised_upstream
2020,CO,STTR,Phase II,15,14,-1,6,True,14582658,14087403,-495255,revised_upstream
2020,CT,SBIR,Phase I,36,41,5,7,True,6579479,7718792,1139313,revised_upstream
2020,CT,SBIR,Phase II,28,33,5,6,True,33784130,51270393,17486263,revised_upstream
2020,CT,STTR,Phase I,7,7,0,6,True,2550292,1859867,-690425,revised_upstream
2020,CT,STTR,Phase II,3,3,0,6,True,3418063,2649408,-768655,revised_upstream
2020,DC,SBIR,Phase I,29,24,-5,6,True,3412583,3096430,-316153,revised_upstream
2020,DC,SBIR,Phase II,12,12,0,6,True,12225805,13544254,1318449,revised_upstream
2020,DC,STTR,Phase I,4,3,-1,6,True,661390,396581,-264809,revised_upstream
2020,DC,STTR,Phase II,1,1,0,6,True,1645446,749995,-895451,revised_upstream
2020,DE,SBIR,Phase I,19,18,-1,6,True,3207760,2575645,-632115,revised_upstream
2020,DE,SBIR,Phase II,10,12,2,6,True,13349658,12026384,-1323274,revised_upstream
2020,DE,STTR,Phase I,11,10,-1,6,True,1632221,1901729,269508,revised_upstream
2020,DE,STTR,Phase II,2,1,-1,6,True,2181571,999774,-1181797,revised_upstream
2020,FL,SBIR,Phase I,128,137,9,26,True,19216093,18838066,-378027,revised_upstream
2020,FL,SBIR,Phase II,49,58,9,10,True,64926816,67213546,2286730,revised_upstream
2020,FL,STTR,Phase I,21,25,4,6,True,3766647,4900802,1134155,revised_upstream
2020,FL,STTR,Phase II,11,15,4,6,True,12242590,16688342,4445752,revised_upstream
2020,GA,SBIR,Phase I,42,43,1,8,True,9421577,9766491,344914,revised_upstream
2020,GA,SBIR,Phase II,26,27,1,6,True,36357025,32328705,-4028320,revised_upstream
2020,GA,STTR,Phase I,16,19,3,6,True,4101954,5724408,1622454,revised_upstream
2020,GA,STTR,Phase II,5,4,-1,6,True,5582937,2447028,-3135909,revised_upstream
2020,HI,SBIR,Phase I,25,24,-1,6,True,4482315,4529611,47296,revised_upstream
2020,HI,SBIR,Phase II,19,21,2,6,True,28746912,25910084,-2836828,revised_upstream
2020,HI,STTR,Phase I,2,2,0,6,True,274455,274455,0,exact
2020,HI,STTR,Phase II,1,1,0,6,True,2350096,744245,-1605851,revised_upstream
2020,IA,SBIR,Phase I,5,7,2,6,True,962982,1249999,287017,revised_upstream
2020,IA,SBIR,Phase II,11,11,0,6,True,11647927,12196160,548233,revised_upstream
2020,IA,STTR,Phase I,3,3,0,6,True,862555,1314101,451546,revised_upstream
2020,IA,STTR,Phase II,1,1,0,6,True,1361255,975606,-385649,revised_upstream
2020,ID,SBIR,Phase I,9,8,-1,6,True,1137154,1025834,-111320,revised_upstream
2020,ID,SBIR,Phase II,4,5,1,6,True,4112357,6916394,2804037,revised_upstream
2020,ID,STTR,Phase I,1,0,-1,6,True,139700,0,-139700,revised_upstream
2020,ID,STTR,Phase II,0,0,0,6,True,0,0,0,exact
2020,IL,SBIR,Phase I,74,78,4,15,True,14621630,13726967,-894663,revised_upstream
