year,juris,Program,Phase,published,recomputed,delta
2013,AK,SBIR,Phase I,2,1,-1
2013,AK,SBIR,Phase II,0,0,0
2013,AK,STTR,Phase I,0,0,0
2013,AK,STTR,Phase II,0,0,0
2013,AL,SBIR,Phase I,55,56,1
2013,AL,SBIR,Phase II,34,29,-5
2013,AL,STTR,Phase I,9,9,0
2013,AL,STTR,Phase II,5,5,0
2013,AR,SBIR,Phase I,13,13,0
2013,AR,SBIR,Phase II,7,7,0
2013,AR,STTR,Phase I,2,2,0
2013,AR,STTR,Phase II,0,0,0
2013,AZ,SBIR,Phase I,54,56,2
2013,AZ,SBIR,Phase II,22,21,-1
2013,AZ,STTR,Phase I,12,11,-1
2013,AZ,STTR,Phase II,2,2,0
2013,CA,SBIR,Phase I,638,649,11
2013,CA,SBIR,Phase II,328,324,-4
2013,CA,STTR,Phase I,80,81,1
2013,CA,STTR,Phase II,30,32,2
2013,CO,SBIR,Phase I,141,150,9
2013,CO,SBIR,Phase II,51,53,2
2013,CO,STTR,Phase I,18,20,2
2013,CO,STTR,Phase II,5,6,1
2013,CT,SBIR,Phase I,45,42,-3
2013,CT,SBIR,Phase II,21,21,0
2013,CT,STTR,Phase I,6,6,0
2013,CT,STTR,Phase II,2,1,-1
2013,DC,SBIR,Phase I,6,5,-1
2013,DC,SBIR,Phase II,2,2,0
2013,DC,STTR,Phase I,2,2,0
2013,DC,STTR,Phase II,0,0,0
2013,DE,SBIR,Phase I,22,22,0
2013,DE,SBIR,Phase II,9,8,-1
2013,DE,STTR,Phase I,2,2,0
2013,DE,STTR,Phase II,0,0,0
2013,FL,SBIR,Phase I,67,66,-1
2013,FL,SBIR,Phase II,40,44,4
2013,FL,STTR,Phase I,14,14,0
2013,FL,STTR,Phase II,10,12,2
2013,GA,SBIR,Phase I,43,43,0
2013,GA,SBIR,Phase II,20,20,0
2013,GA,STTR,Phase I,5,4,-1
2013,GA,STTR,Phase II,5,4,-1
2013,HI,SBIR,Phase I,15,13,-2
2013,HI,SBIR,Phase II,8,8,0
2013,HI,STTR,Phase I,1,1,0
2013,HI,STTR,Phase II,1,1,0
2013,IA,SBIR,Phase I,12,12,0
2013,IA,SBIR,Phase II,0,0,0
2013,IA,STTR,Phase I,4,4,0
2013,IA,STTR,Phase II,1,1,0
2013,ID,SBIR,Phase I,3,3,0
2013,ID,SBIR,Phase II,3,2,-1
2013,ID,STTR,Phase I,1,1,0
2013,ID,STTR,Phase II,2,1,-1
2013,IL,SBIR,Phase I,70,72,2
2013,IL,SBIR,Phase II,39,37,-2
2013,IL,STTR,Phase I,10,9,-1
2013,IL,STTR,Phase II,7,7,0
2013,IN,SBIR,Phase I,24,22,-2
2013,IN,SBIR,Phase II,19,19,0
2013,IN,STTR,Phase I,4,4,0
2013,IN,STTR,Phase II,3,3,0
2013,KS,SBIR,Phase I,9,8,-1
2013,KS,SBIR,Phase II,4,4,0
2013,KS,STTR,Phase I,1,0,-1
2013,KS,STTR,Phase II,1,1,0
2013,KY,SBIR,Phase I,25,28,3
2013,KY,SBIR,Phase II,6,8,2
2013,KY,STTR,Phase I,5,5,0
2013,KY,STTR,Phase II,1,1,0
2013,LA,SBIR,Phase I,9,9,0
2013,LA,SBIR,Phase II,5,5,0
2013,LA,STTR,Phase I,0,0,0
2013,LA,STTR,Phase II,0,0,0
2013,MA,SBIR,Phase I,340,339,-1
2013,MA,SBIR,Phase II,177,181,4
2013,MA,STTR,Phase I,60,57,-3
2013,MA,STTR,Phase II,20,19,-1
2013,MD,SBIR,Phase I,155,149,-6
2013,MD,SBIR,Phase II,62,67,5
2013,MD,STTR,Phase I,19,19,0
2013,MD,STTR,Phase II,10,9,-1
2013,ME,SBIR,Phase I,5,5,0
2013,ME,SBIR,Phase II,3,3,0
2013,ME,STTR,Phase I,2,2,0
2013,ME,STTR,Phase II,0,0,0
2013,MI,SBIR,Phase I,73,73,0
